dataset,method,seed,stage_id,sample_weighted_seen_accuracy,cumulative_seen_support,matrix_source,definition_version
AZ-Class,protocol-matched adapted MalCL baseline,42,1,50.469834021252304,11387,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,2,48.69987112425138,13191,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,3,46.00996655061779,14649,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,4,40.49620311865979,17251,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,5,38.38466663250141,19513,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,6,39.533205004812324,20780,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,7,36.419618290605754,22897,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,8,34.37122481586844,25661,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,9,35.224905485687835,25922,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,10,35.29715571623566,27107,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,42,11,35.53345705381841,28559,adapted_malcl__az_class__seed_42.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,1,53.84953805543334,15911,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,2,47.33310969473331,17886,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,3,45.01154007553504,19064,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,4,40.70930289282404,20499,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,5,40.8232826428946,22884,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,6,39.26517297622114,23298,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,7,36.248031042298976,26029,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,8,35.33668858601815,27221,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,9,32.03893957899274,27838,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,10,32.81857375079511,28298,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,43,11,35.33387023355159,28559,adapted_malcl__az_class__seed_43.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,1,59.0239068499938,16146,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,2,54.80642006558132,17383,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,3,52.37346064124125,18433,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,4,50.74091906061092,18693,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,5,49.30538979328782,20947,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,6,49.18785812378652,21117,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,7,43.04386447273804,23641,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,8,43.82274127104747,25003,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,9,41.58696835393826,25722,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,10,38.72211103698762,26982,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,44,11,40.453097097237304,28559,adapted_malcl__az_class__seed_44.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,1,49.653824224158996,12277,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,2,46.057706041994,14002,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,3,44.73666372941097,14753,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,4,43.15456581894848,15178,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,5,40.19781601966726,17491,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,6,37.7175449714815,20513,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,7,38.484162895927604,22100,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,8,37.21668956043956,23296,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,9,34.89808274470232,24775,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,10,30.60428111384732,26395,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,45,11,32.32956336006163,28559,adapted_malcl__az_class__seed_45.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,1,59.45510756150972,15526,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,2,56.39207742516318,17772,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,3,54.72499586252552,18127,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,4,52.88561886871217,19164,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,5,49.37420897201519,21333,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,6,46.9832121128951,21861,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,7,41.67811748540021,23288,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,8,43.69703389830508,24544,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,9,41.22165732734627,26947,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,10,39.960427964238605,27292,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,46,11,39.46216604222837,28559,adapted_malcl__az_class__seed_46.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,1,59.15163860763286,16691,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,2,57.82252710776721,18076,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,3,56.986471134978835,19366,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,4,53.677251230576196,20722,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,5,49.576502732240435,21960,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,6,48.65675592218448,22669,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,7,45.937245138859076,23297,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,8,43.70165295985669,24562,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,9,36.22934888241011,25725,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,10,38.66503413475809,26952,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,47,11,34.88217374557932,28559,adapted_malcl__az_class__seed_47.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,1,57.478585547990335,18212,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,2,52.624713003548315,19164,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,3,49.785602582858296,19823,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,4,49.01004168245547,21112,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,5,46.12201737851133,21751,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,6,45.88707495264725,22174,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,7,43.46160698378764,22452,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,8,42.50469732864962,24482,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,9,39.63355110009762,26634,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,10,38.108108108108105,27380,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,48,11,39.115515249133374,28559,adapted_malcl__az_class__seed_48.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,1,58.354173179118476,12796,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,2,54.94461762950189,15077,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,3,52.94679226069247,15712,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,4,47.86644165863066,16592,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,5,46.740756571917075,18716,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,6,44.748287756836476,20003,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,7,37.510286184511294,21874,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,8,41.62106982441813,24490,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,9,40.23499885922884,26298,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,10,37.61073146038977,27657,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,49,11,38.84939948877762,28559,adapted_malcl__az_class__seed_49.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,1,64.21183606812349,12859,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,2,58.5091320968427,14126,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,3,50.48662584595552,15515,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,4,52.39843795535351,17157,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,5,51.18105786618445,17696,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,6,44.3977296615514,19028,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,7,46.06758991318727,19352,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,8,45.173041894353375,22509,adapted_malcl__az_class__seed_50.json,V15.4
AZ-Class,protocol-matched adapted MalCL baseline,50,9,42.76358309276574,23209,adapted_malcl__az_class__seed_50.json,V15.4
