dataset,method,seed,sw_aia,tm_aia,final_sample_weighted_seen_accuracy,final_task_macro_accuracy,task_matrix_source,task_support_source,definition_version
AZ-Class,protocol-matched adapted MalCL baseline,42,40.04000980130101,44.521699045908036,35.53345705381841,37.57917978418698,task_matrices/adapted_malcl__az_class__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,39.888004502663456,40.610305383147605,35.33387023355159,26.668717382127976,task_matrices/adapted_malcl__az_class__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,44,47.551521524222764,33.44790358880284,40.453097097237304,25.522210407502318,task_matrices/adapted_malcl__az_class__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,45,39.55008186187633,37.26455138078381,32.32956336006163,29.004630231228806,task_matrices/adapted_malcl__az_class__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,46,47.80314759275813,39.512532910743154,39.46216604222837,32.007570029745494,task_matrices/adapted_malcl__az_class__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,47,47.753327417894845,44.974508253690495,34.88217374557932,27.586638196957136,task_matrices/adapted_malcl__az_class__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,48,45.79377399252613,28.963770687551893,39.115515249133374,25.395163407392467,task_matrices/adapted_malcl__az_class__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,45.5843231703657,40.3121768460697,38.84939948877762,31.870390571514772,task_matrices/adapted_malcl__az_class__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,48.0083631170777,37.73345003940414,36.22325711684583,24.133211364098837,task_matrices/adapted_malcl__az_class__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,40.02410426966925,40.43999531907975,33.001855807276165,33.74411277114153,task_matrices/adapted_malcl__az_class__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,67.43726238676474,49.42085849507669,56.49477806788512,32.3650961999563,task_matrices/adapted_malcl__ember__seed_42.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,63.09668539227972,47.47887001029681,58.14146688820318,42.898124312665985,task_matrices/adapted_malcl__ember__seed_43.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,63.54069000626516,56.96046592312968,36.12330880607643,32.17150375918519,task_matrices/adapted_malcl__ember__seed_44.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,45,63.555220346346566,49.03980998063458,44.16686446712556,32.935347638115196,task_matrices/adapted_malcl__ember__seed_45.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,46,54.78209113298397,52.4489625153403,47.896392119629716,37.010305141122366,task_matrices/adapted_malcl__ember__seed_46.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,47,55.05866996655477,36.892736123283996,40.17920721576074,26.57028939116014,task_matrices/adapted_malcl__ember__seed_47.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,48,58.36934352390438,51.88970316706061,42.20270591027771,26.43494920292227,task_matrices/adapted_malcl__ember__seed_48.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,49,59.06979214684789,55.36298790831133,53.51293615001187,45.477858360621745,task_matrices/adapted_malcl__ember__seed_49.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,50,60.01323532167319,51.37570988599065,51.756468075005934,37.979230211297725,task_matrices/adapted_malcl__ember__seed_50.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
EMBER,protocol-matched adapted MalCL baseline,51,65.24277504947298,60.33498057600662,58.76157132684548,47.50338141761271,task_matrices/adapted_malcl__ember__seed_51.json,analysis_outputs/TASK_TEST_SUPPORTS_V15_4.csv,V15.5
