dataset,method,metric,n,mean,sd,ci95_low,ci95_high
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),sw_aia,10,75.90771200345355,1.7136507011756124,74.6818401399461,77.133583866961
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),tm_aia,10,78.11478705781845,2.1626423574063622,76.56772591230313,79.66184820333376
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),final_sample_weighted_seen_accuracy,10,71.0473065002276,0.6595425618274329,70.57549817384277,71.51911482661244
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),final_task_macro_accuracy,10,73.51041272727274,2.1964817973650783,71.93914430468877,75.0816811498567
AZ-Class,DER++ (standard),sw_aia,10,75.64045055220701,2.568021469497477,73.80339865932106,77.47750244509297
AZ-Class,DER++ (standard),tm_aia,10,79.44330383121601,2.5747001381790615,77.601474306566,81.28513335586602
AZ-Class,DER++ (standard),final_sample_weighted_seen_accuracy,10,71.76756889246823,5.247784383077787,68.01353009298853,75.52160769194793
AZ-Class,DER++ (standard),final_task_macro_accuracy,10,73.68263447952832,7.810488747709561,68.09534741484812,79.26992154420851
AZ-Class,ER (standard),sw_aia,10,76.05447385370036,1.7690944222636817,74.78893994141986,77.32000776598086
AZ-Class,ER (standard),tm_aia,10,79.15379978888966,2.090535401981616,77.65832085190596,80.64927872587336
AZ-Class,ER (standard),final_sample_weighted_seen_accuracy,10,72.40869778353583,2.821185708385479,70.39054310401653,74.42685246305513
AZ-Class,ER (standard),final_task_macro_accuracy,10,74.22985230132272,4.268356257117265,71.17645417565079,77.28325042699466
AZ-Class,protocol-matched adapted MalCL baseline,sw_aia,10,44.19966572503553,3.8116818539100303,41.47295278747792,46.92637866259314
AZ-Class,protocol-matched adapted MalCL baseline,tm_aia,10,38.77808934551815,4.813294528134085,35.33486586434662,42.221312826689676
AZ-Class,protocol-matched adapted MalCL baseline,final_sample_weighted_seen_accuracy,10,36.51843551945096,2.816147299003612,34.503885100878094,38.53298593802383
AZ-Class,protocol-matched adapted MalCL baseline,final_task_macro_accuracy,10,29.35118241458963,4.325226403756393,26.25710183677583,32.44526299240343
EMBER,AHR-MalCL-HR (hybrid_random_buffer),sw_aia,10,83.04707448878534,1.3631462953105005,82.07193837258664,84.02221060498404
EMBER,AHR-MalCL-HR (hybrid_random_buffer),tm_aia,10,82.17656728725566,2.8249096473060193,80.15574866231215,84.19738591219918
EMBER,AHR-MalCL-HR (hybrid_random_buffer),final_sample_weighted_seen_accuracy,10,79.21937754717541,0.4086887926647226,78.92701919694989,79.51173589740094
EMBER,AHR-MalCL-HR (hybrid_random_buffer),final_task_macro_accuracy,10,78.75268272727274,2.1628255974373505,77.2054904997358,80.29987495480968
EMBER,DER++ (standard),sw_aia,10,84.16017383343258,0.7102666909022595,83.65207965101472,84.66826801585044
EMBER,DER++ (standard),tm_aia,10,84.04243739176454,2.355586501846807,82.35735232005715,85.72752246347193
EMBER,DER++ (standard),final_sample_weighted_seen_accuracy,10,82.39852836458581,2.226901659857919,80.80549888328892,83.99155784588271
EMBER,DER++ (standard),final_task_macro_accuracy,10,81.47416457061236,2.0000112805634727,80.04344268904205,82.90488645218267
EMBER,ER (standard),sw_aia,10,83.63052218954746,0.6754307882607888,83.14734811065989,84.11369626843504
EMBER,ER (standard),tm_aia,10,83.00009711181586,2.495520590383177,81.21490922349327,84.78528500013846
EMBER,ER (standard),final_sample_weighted_seen_accuracy,10,81.75261096605743,2.295001272880621,80.11086595629081,83.39435597582406
EMBER,ER (standard),final_task_macro_accuracy,10,80.68947609847001,2.015876470147143,79.24740494396649,82.13154725297353
EMBER,protocol-matched adapted MalCL baseline,sw_aia,10,61.016576527309326,4.247857490433013,57.97784233594885,64.0553107186698
EMBER,protocol-matched adapted MalCL baseline,tm_aia,10,51.12050845851313,6.345085257185672,46.58150790081271,55.65950901621355
EMBER,protocol-matched adapted MalCL baseline,final_sample_weighted_seen_accuracy,10,48.923569902682175,8.009221082185958,43.19411829009461,54.65302151526974
EMBER,protocol-matched adapted MalCL baseline,final_task_macro_accuracy,10,36.13460856346596,7.39496989962954,30.844565776320778,41.42465135061114
