dataset,method,metric,mean,sd,n
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),task_acquisition,81.55700818181819,1.8681464772761374,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),bwt,-8.851255,1.5034984528185515,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),forgetting,9.159115000000002,1.4925473137949998,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),sw_aia,75.90771200345355,1.7136507011756124,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),tm_aia,78.11478705781845,2.1626423574063622,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),final_task_macro_accuracy,73.51041272727274,2.1964817973650783,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),final_old_task_accuracy,70.69065542069532,0.5053508112062113,10
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),final_new_task_accuracy,79.94836,15.712500704866951,10
AZ-Class,DER++ (standard),task_acquisition,96.59291846356015,0.5359373824989859,10
AZ-Class,DER++ (standard),bwt,-25.201312382435024,8.646683460027807,10
AZ-Class,DER++ (standard),forgetting,25.271900617729138,8.615713352039776,10
AZ-Class,DER++ (standard),sw_aia,75.64045055220701,2.568021469497477,10
AZ-Class,DER++ (standard),tm_aia,79.44330383121601,2.5747001381790615,10
AZ-Class,DER++ (standard),final_task_macro_accuracy,73.68263447952832,7.810488747709561,10
AZ-Class,DER++ (standard),final_old_task_accuracy,70.24444641265919,6.288666692145102,10
AZ-Class,DER++ (standard),final_new_task_accuracy,97.2978693390412,2.5600867120915893,10
AZ-Class,ER (standard),task_acquisition,96.74114220650381,0.4568612791694408,10
AZ-Class,ER (standard),bwt,-24.762418895699184,4.614287735619285,10
AZ-Class,ER (standard),forgetting,24.76626504954534,4.612366780336259,10
AZ-Class,ER (standard),sw_aia,76.05447385370036,1.7690944222636817,10
AZ-Class,ER (standard),tm_aia,79.15379978888966,2.090535401981616,10
AZ-Class,ER (standard),final_task_macro_accuracy,74.22985230132272,4.268356257117265,10
AZ-Class,ER (standard),final_old_task_accuracy,71.00396798885528,3.2525943468276375,10
AZ-Class,ER (standard),final_new_task_accuracy,97.37105298718836,2.570260883739966,10
AZ-Class,protocol-matched adapted MalCL baseline,task_acquisition,43.36059588479048,6.182161440971272,10
