dataset,method,seed,stage,sw_seen_accuracy,tm_seen_accuracy,cumulative_test_support,observed_tasks,definition_version
AZ-Class,protocol-matched adapted MalCL baseline,42,1,50.469834021252304,50.469834021252304,11387,1,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,2,48.69987112425138,58.55370869687045,13191,2,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,3,46.00996655061779,51.193082399035994,14649,3,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,4,40.49620311865979,47.733121255823505,17251,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,5,38.38466663250141,44.460656557780275,19513,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,6,39.533205004812324,45.45111361842144,20780,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,7,36.419618290605754,40.3640511863914,22897,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,8,34.37122481586844,38.397499943951395,25661,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,9,35.224905485687835,36.26838619704514,25922,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,10,35.29715571623566,39.26805584422956,27107,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,42,11,35.53345705381841,37.57917978418698,28559,11,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,1,53.84953805543334,53.84953805543334,15911,1,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,2,47.33310969473331,51.30604493826021,17886,2,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,3,45.01154007553504,48.41640463090742,19064,3,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,4,40.70930289282404,51.41995751067768,20499,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,5,40.8232826428946,49.087662197512486,22884,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,6,39.26517297622114,38.680258748229,23298,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,7,36.248031042298976,37.682579273116836,26029,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,8,35.33668858601815,33.92867639592597,27221,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,9,32.03893957899274,28.562144980177006,27838,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,10,32.81857375079511,27.111375102255785,28298,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,43,11,35.33387023355159,26.668717382127976,28559,11,V15.5
