dataset,method,seed,source_class_order,support_source,task_supports,full_test_support,all_100_classes_once,schedule_valid,matches_v15_4_supports
EMBER,ER (standard),42,historical_outputs/er/ember/seed_42/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18675, 3932, 1673, 544, 455, 536, 527, 2923, 2976, 632, 831]",33704,true,true,true
EMBER,DER++ (standard),42,historical_outputs/derpp/ember/seed_42/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18675, 3932, 1673, 544, 455, 536, 527, 2923, 2976, 632, 831]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,42,historical_outputs/adapted_malcl/ember/seed_42/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18675, 3932, 1673, 544, 455, 536, 527, 2923, 2976, 632, 831]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),42,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[18675, 3932, 1673, 544, 455, 536, 527, 2923, 2976, 632, 831]",33704,true,true,true
EMBER,ER (standard),43,historical_outputs/er/ember/seed_43/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[22345, 639, 883, 2284, 1672, 479, 2221, 481, 660, 1261, 779]",33704,true,true,true
EMBER,DER++ (standard),43,historical_outputs/derpp/ember/seed_43/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[22345, 639, 883, 2284, 1672, 479, 2221, 481, 660, 1261, 779]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,43,historical_outputs/adapted_malcl/ember/seed_43/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[22345, 639, 883, 2284, 1672, 479, 2221, 481, 660, 1261, 779]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),43,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[22345, 639, 883, 2284, 1672, 479, 2221, 481, 660, 1261, 779]",33704,true,true,true
EMBER,ER (standard),44,historical_outputs/er/ember/seed_44/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15365, 2623, 1613, 3970, 1167, 825, 990, 3172, 398, 881, 2700]",33704,true,true,true
EMBER,DER++ (standard),44,historical_outputs/derpp/ember/seed_44/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15365, 2623, 1613, 3970, 1167, 825, 990, 3172, 398, 881, 2700]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,44,historical_outputs/adapted_malcl/ember/seed_44/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15365, 2623, 1613, 3970, 1167, 825, 990, 3172, 398, 881, 2700]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),44,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[15365, 2623, 1613, 3970, 1167, 825, 990, 3172, 398, 881, 2700]",33704,true,true,true
EMBER,ER (standard),45,historical_outputs/er/ember/seed_45/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[20782, 640, 846, 1805, 1623, 623, 935, 2207, 954, 896, 2393]",33704,true,true,true
EMBER,DER++ (standard),45,historical_outputs/derpp/ember/seed_45/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[20782, 640, 846, 1805, 1623, 623, 935, 2207, 954, 896, 2393]",33704,true,true,true
