dataset,variant,metric,unit,mean,sample_sd,N
ember,current_only,final_tm_accuracy,fraction,0.09167557924351975,0.006546836185801482,10
ember,current_only,tm_aia,fraction,0.26408790245238056,0.005239895003386476,10
ember,current_only,sw_aia,fraction,0.13746807390510749,0.011019459028857538,10
ember,current_only,forgetting,fraction,0.962565975304249,0.012684548336235857,10
ember,current_only,bwt,fraction,-0.962565975304249,0.012684548336235857,10
ember,current_only,acquisition,fraction,0.9667355567928371,0.007045975586651987,10
ember,current_only,final_old_task_accuracy,fraction,0.002689290262262843,0.006331333743821584,10
ember,current_only,final_new_task_accuracy,fraction,0.9815384690560889,0.01579759040057149,10
ember,current_only,macro_f1,fraction,0.008163523802975173,0.005402551596494009,10
ember,current_only,weighted_f1,fraction,0.0154313018299391,0.01804580595586367,10
ember,current_only,balanced_accuracy,fraction,0.04999192269289171,0.003944780391992736,10
ember,anchor_only,final_tm_accuracy,fraction,0.7836259670938427,0.018737698244959893,10
ember,anchor_only,tm_aia,fraction,0.8209651006528554,0.027377532042073088,10
ember,anchor_only,sw_aia,fraction,0.8354441350850497,0.012326334093329238,10
ember,anchor_only,forgetting,fraction,0.07294326846321462,0.01574813925964737,10
ember,anchor_only,bwt,fraction,-0.06571420811254437,0.014008332095947821,10
ember,anchor_only,acquisition,fraction,0.8433661562870648,0.015972051619002593,10
ember,anchor_only,final_old_task_accuracy,fraction,0.776344379796306,0.02420084516651324,10
ember,anchor_only,final_new_task_accuracy,fraction,0.8564418400692094,0.09108737917542818,10
ember,anchor_only,macro_f1,fraction,0.7234130644858798,0.004790916619906267,10
ember,anchor_only,weighted_f1,fraction,0.8092104034283734,0.004791655209081087,10
ember,anchor_only,balanced_accuracy,fraction,0.7976950941960802,0.003459307040345227,10
ember,generated_only,final_tm_accuracy,fraction,0.40902868818893856,0.07777860916493719,10
ember,generated_only,tm_aia,fraction,0.5920868735705597,0.04357067322924165,10
ember,generated_only,sw_aia,fraction,0.45443523412058445,0.04690501517695674,10
ember,generated_only,forgetting,fraction,0.5940448933841244,0.08165845031280196,10
ember,generated_only,bwt,fraction,-0.5940448933841244,0.08165845031280196,10
ember,generated_only,acquisition,fraction,0.9490695003563243,0.01046708691190457,10
ember,generated_only,final_old_task_accuracy,fraction,0.3541622626191789,0.08493291948582243,10
ember,generated_only,final_new_task_accuracy,fraction,0.9576929438865354,0.03132037412761993,10
ember,generated_only,macro_f1,fraction,0.25667183538307015,0.052696170006651354,10
ember,generated_only,weighted_f1,fraction,0.2602897398999189,0.06158819047968193,10
ember,generated_only,balanced_accuracy,fraction,0.2939203782668111,0.054062109052444546,10
ember,full_hybrid,final_tm_accuracy,fraction,0.7875268272727273,0.02162825597437344,10
ember,full_hybrid,tm_aia,fraction,0.8217656728725568,0.028249096473060186,10
ember,full_hybrid,sw_aia,fraction,0.8304707448878534,0.013631462953104998,10
ember,full_hybrid,forgetting,fraction,0.09237236,0.017921405842064957,10
ember,full_hybrid,bwt,fraction,-0.09168019000000001,0.018139328060411228,10
ember,full_hybrid,acquisition,fraction,0.8708724545454546,0.01024496847717235,10
ember,full_hybrid,final_old_task_accuracy,fraction,0.77920412,0.027665978267893507,10
ember,full_hybrid,final_new_task_accuracy,fraction,0.8707539,0.08400344942447965,10
ember,full_hybrid,macro_f1,fraction,0.7227560247867849,0.0068847368950158494,10
ember,full_hybrid,weighted_f1,fraction,0.8070267318355016,0.004946602488615636,10
ember,full_hybrid,balanced_accuracy,fraction,0.7954268645390942,0.004348812408213266,10
az_class,current_only,final_tm_accuracy,fraction,0.0897607454200052,0.0015817603057369173,10
az_class,current_only,tm_aia,fraction,0.25908880865535466,0.0033501975226265003,10
az_class,current_only,sw_aia,fraction,0.136248138995945,0.012704900573478065,10
az_class,current_only,forgetting,fraction,0.9665058551715137,0.007939458461741088,10
az_class,current_only,bwt,fraction,-0.9665058551715137,0.007939458461741088,10
az_class,current_only,acquisition,fraction,0.9684024319395631,0.008062975291774122,10
az_class,current_only,final_old_task_accuracy,fraction,0.00029365,0.0009286028349084445,10
az_class,current_only,final_new_task_accuracy,fraction,0.9844316996200572,0.012501770342006904,10
az_class,current_only,macro_f1,fraction,0.006700937923762959,0.0035689166090228474,10
az_class,current_only,weighted_f1,fraction,0.010066954375830509,0.00690912679822763,10
az_class,current_only,balanced_accuracy,fraction,0.050364955731824174,0.0028490837183515,10
az_class,anchor_only,final_tm_accuracy,fraction,0.733383145980636,0.02553727500858147,10
az_class,anchor_only,tm_aia,fraction,0.7784263631990311,0.021754916910588114,10
az_class,anchor_only,sw_aia,fraction,0.7613375639607204,0.017440611019479323,10
az_class,anchor_only,forgetting,fraction,0.07613921843437689,0.012200433546078415,10
az_class,anchor_only,bwt,fraction,-0.06370114880926865,0.011964458646826404,10
az_class,anchor_only,acquisition,fraction,0.7912932812617894,0.018807171575809675,10
az_class,anchor_only,final_old_task_accuracy,fraction,0.7288505847337811,0.032816886802728346,10
az_class,anchor_only,final_new_task_accuracy,fraction,0.7787087584491859,0.17058513617237167,10
az_class,anchor_only,macro_f1,fraction,0.6777884091016748,0.007647931141835072,10
az_class,anchor_only,weighted_f1,fraction,0.7162547748584623,0.006048380174148533,10
az_class,anchor_only,balanced_accuracy,fraction,0.8360502681863425,0.003137085086639177,10
az_class,generated_only,final_tm_accuracy,fraction,0.2922324156755719,0.07433797593821699,10
az_class,generated_only,tm_aia,fraction,0.48665618774955255,0.02113592479627312,10
az_class,generated_only,sw_aia,fraction,0.32796855996572444,0.03561831836086825,10
az_class,generated_only,forgetting,fraction,0.7196214252214332,0.0774272073139027,10
az_class,generated_only,bwt,fraction,-0.7196214252214332,0.0774272073139027,10
az_class,generated_only,acquisition,fraction,0.9464337113314203,0.007262777699531063,10
az_class,generated_only,final_old_task_accuracy,fraction,0.22575451231538146,0.0784283600723175,10
az_class,generated_only,final_new_task_accuracy,fraction,0.9570114492774762,0.03954811157958005,10
az_class,generated_only,macro_f1,fraction,0.19780152938159265,0.05712584196550115,10
az_class,generated_only,weighted_f1,fraction,0.16093423185062092,0.05275467930693206,10
az_class,generated_only,balanced_accuracy,fraction,0.2392141348348312,0.05958538988349559,10
az_class,full_hybrid,final_tm_accuracy,fraction,0.7351041272727272,0.02196481797365075,10
az_class,full_hybrid,tm_aia,fraction,0.7811478705781845,0.02162642357406363,10
az_class,full_hybrid,sw_aia,fraction,0.7590771200345356,0.017136507011756067,10
az_class,full_hybrid,forgetting,fraction,0.09245309000000002,0.014759890487884172,10
az_class,full_hybrid,bwt,fraction,-0.08851255000000001,0.015034984528185516,10
az_class,full_hybrid,acquisition,fraction,0.8155700818181818,0.01868146477276132,10
az_class,full_hybrid,final_old_task_accuracy,fraction,0.72866618,0.025054949180320547,10
az_class,full_hybrid,final_new_task_accuracy,fraction,0.7994836,0.15712500704866952,10
az_class,full_hybrid,macro_f1,fraction,0.6754453048446651,0.005290260974846835,10
az_class,full_hybrid,weighted_f1,fraction,0.7131539767812194,0.005959287032384076,10
az_class,full_hybrid,balanced_accuracy,fraction,0.8355126904212258,0.004849682607918818,10
