dataset,variant,source_provenance,seed,total_classifier_optimizer_steps,mean_classifier_pool_size,mean_current_pool_size,mean_anchor_pool_size,mean_generated_pool_size,mean_realized_anchor_share,mean_realized_generated_share
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,42,4419,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8488013465014544,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,43,4422,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8484724048155337,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,44,4419,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8481738609968142,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,45,4425,34166.454545454544,27575.545454545456,6590.909090909091,0,0.848572314107129,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,46,4422,34166.454545454544,27575.545454545456,6590.909090909091,0,0.848106638543834,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,47,4422,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8479265878831566,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,48,4422,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8480903405766561,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,49,4419,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8486148041136865,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,50,4422,34166.454545454544,27575.545454545456,6590.909090909091,0,0.848313271810189,0.0
ember,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,51,4419,34166.454545454544,27575.545454545456,6590.909090909091,0,0.8487565216276673,0.0
ember,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,47,3573,27575.545454545456,27575.545454545456,0,0,0.0,0.0
ember,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,47,4422,34166.454545454544,27575.545454545456,0,6590.909090909091,0.0,0.8479456637772905
ember,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,48,3573,27575.545454545456,27575.545454545456,0,0,0.0,0.0
ember,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,48,4422,34166.454545454544,27575.545454545456,0,6590.909090909091,0.0,0.8481034222915328
ember,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,49,3570,27575.545454545456,27575.545454545456,0,0,0.0,0.0
ember,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,49,4419,34166.454545454544,27575.545454545456,0,6590.909090909091,0.0,0.8486283929703704
ember,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,50,3567,27575.545454545456,27575.545454545456,0,0,0.0,0.0
ember,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,50,4422,34166.454545454544,27575.545454545456,0,6590.909090909091,0.0,0.8483228545871683
ember,current_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,51,3561,27575.545454545456,27575.545454545456,0,0,0.0,0.0
ember,generated_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,51,4419,34166.454545454544,27575.545454545456,0,6590.909090909091,0.0,0.848730462141151
az_class,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,42,4728,36520.27272727273,23365.727272727272,13154.545454545454,0,0.848207123878088,0.0
az_class,anchor_only,NEW_STANDARD_A_T4_SERIALIZED_ACTUAL,43,4731,36537.36363636364,23365.727272727272,13171.636363636364,0,0.8481830392247788,0.0
