canonical_run_id,dataset,seed,variant,source_provenance,result_path,result_sha256,task_matrix_sha256,class_order_sha256,hash_source,historical_manifest_source_matrix_sha256,source_matrix_identity_verified,matrix_hash_representation
anchor_only__az_class__seed_42,az_class,42,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_42/full-result.json,d7d97b89e1a4c49c2937291e53e42f49fbf21d93ab04ee9ad1dee0fa34361e71,900914dff721096aec7ef0dfbb059bc41026c733ac8af42d995891e2e6531e8b,04b000b56a91f35b971f5297eaab4279245789dfee40b74a026b0381d5f11fe7,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_43,az_class,43,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_43/full-result.json,a85b51bdcd62b5035c1fc9185e45605fe38a2fac176a9b37bc7de6c0c3181305,d559295493a4332fcbc2b63cf7f60ddf260ca69cc47b4b2e9cdb9502b51ea167,6ca5410628e21ac8e3044389e297b72219e8fed297430e6ac2e56bae667c66dd,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_44,az_class,44,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_44/full-result.json,1322571124b92c4848a7776ca22da3c6446956ffd42769a9db83acb30ced691d,0b49e9cab28fb8f607b1ce886f05e2b46809540ee186e3056e5d8f70e6fd6065,52d1aff63ae9d3f1105baddd7d735ca2ee75bd11aa8297f6348366c50743cf52,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_45,az_class,45,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_45/full-result.json,3d265968a837764e492ce4e020cfaa0e70ca7be51fe202f7cdbea065c7dbd46c,fff6443db4c592526d3f64ecc90780d17e52ea3492bdbac2def402f9f366adb5,de2da4d58ac700169dc38e3e96cd059be67d60420cf2f8e906c090d892a5a5a5,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_46,az_class,46,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_46/full-result.json,fe68902ce5d65edaed377a728757012eb31d6c444e28b0ee02b9060e8fe15c5c,13c67017e6a1acc75a6b9d5c5cf28a5189ee30d865f86ab87c8daf49a20e9cc9,87932ff5a61dfdae297ca2244e2b5410ce62f883ac6eadf12ac4482b85046853,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_47,az_class,47,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_47/full-result.json,16c5f0aa9a9aa6923331c75aac32a21b106bac1f166ae97f0bb8f4309d270cb3,197e7d665b1e845384a9ee444a118d8ed3183517add6fee54262c33a58dd79b0,ebd0bcf46c4ac943715514fc03250c24f98f7a7629a4c947acd616c8b0931201,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_48,az_class,48,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_48/full-result.json,329193731d741306cc7d96af5208b0f4b5b197bfb9db40a7bb5bffa75e49ff0c,50aae4471f223a0cff97b6414dc7471de7eb8959d970b8415c475031f53f5eb7,7763ffa2bfaf1043a54fc26decec235ea039a7236500f995b2786ae4f80a7aa5,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_49,az_class,49,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_49/full-result.json,b94c3e619c9ef67777945eed208b44a52173fed59e92d4090b800dca7c8a7acd,966cc9c88ce5b3105849213bc6145548cbbeac4acb99effa575d5a4dc2a4db5f,450f7ff7a8054e186345d607cf7b32fa6a17c1c5fd2f6bec1e423815db44472b,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_50,az_class,50,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_50/full-result.json,e5b484ee53e0ea6739681db8a6d62c477c83fc4668fcae5576a42e92888d1d2b,fe92fe202f55232d94740bf41cdf62e48f4b1518a2968ef3b5bdcb108112a10e,f88acfbf1b48391853c7ae42e4242f40996c22b130dca35853d171999f13be7a,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
anchor_only__az_class__seed_51,az_class,51,anchor_only,NEW_STANDARD_A_T4,paper_ready/AHR_MalCL_V15_5_STANDARD_A_RESULTS/AHR_MalCL_V15_5_STANDARD_A/runs/anchor_only/az_class/seed_51/full-result.json,291cc7f2e825736a4f9122f55c0f521f5bc6efa66e9b791476dedb6deb6a46a5,be8bfed1d2097e1dd8d4a07319aac00f3816b9b17968bd17dd3a9df2813f4d0c,de9520c2f308952cd35c2ee27b994acccf14e001313b8f4100840a430e02867f,computed read-only during final-80 analysis,,n/a_new_serialized,serialized canonical matrix
