dataset,seed,old_task,acquisition_accuracy,best_pre_final_accuracy,stage_of_best_pre_final_accuracy,final_accuracy,forgetting_contribution_manuscript,historical_contribution,final80_contribution
ember,42,1,0.910094,0.910094,1,0.832343,0.0777509999999999,0.0777509999999999,0.0777509999999999
ember,42,2,0.907426,0.907426,2,0.715666,0.19175999999999993,0.19175999999999993,0.19175999999999993
ember,42,3,0.939629,0.939629,3,0.826061,0.113568,0.113568,0.113568
ember,42,4,0.8125,0.8125,4,0.700368,0.11213200000000001,0.11213200000000001,0.11213200000000001
ember,42,5,0.892308,0.892308,5,0.802198,0.09011000000000002,0.09011000000000002,0.09011000000000002
ember,42,6,0.759328,0.759328,6,0.673507,0.08582100000000004,0.08582100000000004,0.08582100000000004
ember,42,7,0.863378,0.863378,7,0.83871,0.024668000000000023,0.024668000000000023,0.024668000000000023
ember,42,8,0.822785,0.822785,8,0.76052,0.062265000000000015,0.062265000000000015,0.062265000000000015
ember,42,9,0.883065,0.883065,9,0.714718,0.16834700000000002,0.16834700000000002,0.16834700000000002
ember,42,10,0.914557,0.914557,10,0.884494,0.03006299999999995,0.03006299999999995,0.03006299999999995
ember,43,1,0.889505,0.889505,1,0.785545,0.10395999999999994,0.10395999999999994,0.10395999999999994
ember,43,2,0.881064,0.895149,6,0.862285,0.032864000000000004,0.032864000000000004,0.032864000000000004
ember,43,3,0.9094,0.9094,3,0.720272,0.18912799999999996,0.18912799999999996,0.18912799999999996
ember,43,4,0.82662,0.82662,4,0.639667,0.18695300000000004,0.18695300000000004,0.18695300000000004
ember,43,5,0.929426,0.929426,5,0.880383,0.04904299999999995,0.04904299999999995,0.04904299999999995
ember,43,6,0.82881,0.82881,6,0.703549,0.12526100000000007,0.12526100000000007,0.12526100000000007
ember,43,7,0.983791,0.983791,7,0.929761,0.05403000000000002,0.05403000000000002,0.05403000000000002
ember,43,8,0.939709,0.939709,8,0.925156,0.014553000000000038,0.014553000000000038,0.014553000000000038
ember,43,9,0.831818,0.831818,9,0.780303,0.05151499999999998,0.05151499999999998,0.05151499999999998
ember,43,10,0.944489,0.944489,10,0.938937,0.005552000000000001,0.005552000000000001,0.005552000000000001
ember,44,1,0.90576,0.90576,1,0.843736,0.06202399999999997,0.06202399999999997,0.06202399999999997
ember,44,2,0.829203,0.829203,2,0.631338,0.19786500000000007,0.19786500000000007,0.19786500000000007
ember,44,3,0.83323,0.83323,3,0.66584,0.16739000000000004,0.16739000000000004,0.16739000000000004
ember,44,4,0.910327,0.910327,4,0.663476,0.24685100000000004,0.24685100000000004,0.24685100000000004
ember,44,5,0.926307,0.926307,5,0.893745,0.03256199999999998,0.03256199999999998,0.03256199999999998
ember,44,6,0.934545,0.935758,7,0.927273,0.008484999999999965,0.008484999999999965,0.008484999999999965
ember,44,7,0.920202,0.920202,7,0.837374,0.08282800000000001,0.08282800000000001,0.08282800000000001
ember,44,8,0.861286,0.861286,8,0.772699,0.08858699999999997,0.08858699999999997,0.08858699999999997
ember,44,9,0.896985,0.896985,9,0.864322,0.032663,0.032663,0.032663
ember,44,10,0.752554,0.752554,10,0.712826,0.039727999999999986,0.039727999999999986,0.039727999999999986
ember,45,1,0.888076,0.888076,1,0.789866,0.09821000000000002,0.09821000000000002,0.09821000000000002
ember,45,2,0.885938,0.885938,2,0.775,0.11093799999999998,0.11093799999999998,0.11093799999999998
ember,45,3,0.973995,0.973995,3,0.951537,0.02245800000000009,0.02245800000000009,0.02245800000000009
ember,45,4,0.85374,0.85374,4,0.686981,0.1667590000000001,0.1667590000000001,0.1667590000000001
ember,45,5,0.929144,0.929144,5,0.815773,0.113371,0.113371,0.113371
ember,45,6,0.760835,0.760835,6,0.677368,0.08346700000000007,0.08346700000000007,0.08346700000000007
ember,45,7,0.944385,0.944385,7,0.914439,0.029946000000000028,0.029946000000000028,0.029946000000000028
ember,45,8,0.92841,0.92841,8,0.879021,0.049388999999999905,0.049388999999999905,0.049388999999999905
ember,45,9,0.880503,0.880503,9,0.832285,0.04821799999999998,0.04821799999999998,0.04821799999999998
ember,45,10,0.912946,0.912946,10,0.878348,0.03459800000000002,0.03459800000000002,0.03459800000000002
ember,46,1,0.887269,0.887269,1,0.740525,0.14674399999999999,0.14674399999999999,0.14674399999999999
ember,46,2,0.975467,0.975467,2,0.940421,0.03504600000000002,0.03504600000000002,0.03504600000000002
ember,46,3,0.978655,0.978655,3,0.950625,0.02803,0.02803,0.02803
ember,46,4,0.804233,0.804233,4,0.632275,0.17195799999999994,0.17195799999999994,0.17195799999999994
ember,46,5,0.931507,0.931507,5,0.907045,0.024461999999999984,0.024461999999999984,0.024461999999999984
ember,46,6,0.827143,0.827143,6,0.700451,0.12669199999999992,0.12669199999999992,0.12669199999999992
ember,46,7,0.749296,0.749296,7,0.63662,0.112676,0.112676,0.112676
ember,46,8,0.645885,0.645885,8,0.659601,-0.01371599999999995,-0.01371599999999995,0.0
ember,46,9,0.824196,0.824196,9,0.752558,0.07163800000000009,0.07163800000000009,0.07163800000000009
ember,46,10,0.919223,0.919223,10,0.916155,0.0030679999999999596,0.0030679999999999596,0.0030679999999999596
ember,47,1,0.90942,0.90942,1,0.811066,0.09835400000000005,0.09835400000000005,0.09835400000000005
ember,47,2,0.781633,0.781633,2,0.605102,0.176531,0.176531,0.176531
ember,47,3,0.849607,0.849607,3,0.56229,0.28731700000000004,0.28731700000000004,0.28731700000000004
ember,47,4,0.603053,0.603053,4,0.346565,0.25648799999999994,0.25648799999999994,0.25648799999999994
ember,47,5,0.838804,0.838804,5,0.811816,0.026988000000000012,0.026988000000000012,0.026988000000000012
ember,47,6,0.934126,0.934126,6,0.90798,0.026146000000000003,0.026146000000000003,0.026146000000000003
ember,47,7,0.791667,0.791667,7,0.737179,0.05448799999999998,0.05448799999999998,0.05448799999999998
ember,47,8,0.970833,0.970833,8,0.95625,0.014582999999999902,0.014582999999999902,0.014582999999999902
ember,47,9,0.831878,0.844978,10,0.799127,0.045850999999999975,0.045850999999999975,0.045850999999999975
ember,47,10,0.934817,0.934817,10,0.90779,0.027027000000000023,0.027027000000000023,0.027027000000000023
ember,48,1,0.88479,0.88479,1,0.790215,0.09457499999999996,0.09457499999999996,0.09457499999999996
ember,48,2,0.915793,0.915793,2,0.701229,0.21456399999999998,0.21456399999999998,0.21456399999999998
ember,48,3,0.89945,0.89945,3,0.516104,0.38334599999999996,0.38334599999999996,0.38334599999999996
ember,48,4,0.932879,0.932879,4,0.855058,0.07782100000000003,0.07782100000000003,0.07782100000000003
ember,48,5,0.776408,0.776408,5,0.65493,0.12147799999999997,0.12147799999999997,0.12147799999999997
ember,48,6,0.871795,0.871795,6,0.681698,0.19009699999999996,0.19009699999999996,0.19009699999999996
ember,48,7,0.913087,0.913087,7,0.893107,0.019979999999999998,0.019979999999999998,0.019979999999999998
ember,48,8,0.84438,0.84438,8,0.760807,0.08357300000000001,0.08357300000000001,0.08357300000000001
ember,48,9,0.904435,0.904435,9,0.896515,0.007920000000000038,0.007920000000000038,0.007920000000000038
ember,48,10,0.748634,0.748634,10,0.690346,0.058288000000000006,0.058288000000000006,0.058288000000000006
ember,49,1,0.899404,0.899404,1,0.788468,0.11093600000000003,0.11093600000000003,0.11093600000000003
ember,49,2,0.889211,0.889211,2,0.644737,0.24447399999999997,0.24447399999999997,0.24447399999999997
ember,49,3,0.956318,0.956318,3,0.932397,0.02392099999999997,0.02392099999999997,0.02392099999999997
ember,49,4,0.569474,0.569474,4,0.396688,0.17278600000000005,0.17278600000000005,0.17278600000000005
ember,49,5,0.928375,0.928375,5,0.898072,0.03030299999999997,0.03030299999999997,0.03030299999999997
ember,49,6,0.921113,0.922025,10,0.912905,0.009120000000000017,0.009120000000000017,0.009120000000000017
ember,49,7,0.919355,0.919355,7,0.900538,0.018817000000000084,0.018817000000000084,0.018817000000000084
ember,49,8,0.940828,0.940828,8,0.897041,0.04378700000000002,0.04378700000000002,0.04378700000000002
ember,49,9,0.913765,0.913765,9,0.873411,0.040354,0.040354,0.040354
ember,49,10,0.790708,0.790708,10,0.779204,0.011503999999999959,0.011503999999999959,0.011503999999999959
ember,50,1,0.922113,0.922113,1,0.795381,0.12673199999999996,0.12673199999999996,0.12673199999999996
ember,50,2,0.866545,0.866545,2,0.62401,0.24253500000000006,0.24253500000000006,0.24253500000000006
ember,50,3,0.985675,0.985675,3,0.974079,0.01159599999999994,0.01159599999999994,0.01159599999999994
ember,50,4,0.979907,0.979907,4,0.961284,0.018622999999999945,0.018622999999999945,0.018622999999999945
ember,50,5,0.594805,0.594805,5,0.291775,0.30303,0.30303,0.30303
