dataset,seed,variant,source_provenance,forgetting_corrected_fraction,forgetting_corrected_percent,formula,matrix_orientation
az_class,42,anchor_only,NEW_STANDARD_A_T4,0.074409266619943,7.4409266619943,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,43,anchor_only,NEW_STANDARD_A_T4,0.06537950535805845,6.5379505358058445,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,44,anchor_only,NEW_STANDARD_A_T4,0.06623982676619392,6.623982676619391,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,45,anchor_only,NEW_STANDARD_A_T4,0.06734208795481625,6.734208795481625,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,46,anchor_only,NEW_STANDARD_A_T4,0.04510834167549112,4.5108341675491115,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,47,anchor_only,NEW_STANDARD_A_T4,0.09040417299434234,9.040417299434234,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,48,anchor_only,NEW_STANDARD_A_T4,0.07923350834702579,7.923350834702579,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,49,anchor_only,NEW_STANDARD_A_T4,0.08025055594992134,8.025055594992134,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,50,anchor_only,NEW_STANDARD_A_T4,0.0820457522774563,8.204575227745629,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,51,anchor_only,NEW_STANDARD_A_T4,0.08566388539970861,8.56638853997086,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
az_class,42,current_only,HISTORICAL_REUSED,0.9582134999999999,95.82135,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
