dataset,seed,k_level,K,source_provenance,fidelity_classification,final_tm_accuracy,tm_aia,sw_aia,forgetting,bwt,acquisition,final_old_task_accuracy,final_new_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,class_order_evidence,metric_unit
ember,47,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7092354927930542,0.7062330857214671,0.755440581175593,0.20408465309685503,-0.20408465309685503,0.8947669956083769,0.6834213769335082,0.9673766513885145,0.655316535543005,0.7416986724104656,0.7353959227319353,EXACT_VECTOR_MATCH,fraction
ember,48,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.6741393311265547,0.7625423522614514,0.7693270130219488,0.2628915529068582,-0.2628915529068582,0.9131316519509712,0.6436549767456969,0.9789828749351324,0.6631164714343768,0.7548262781136019,0.73576465589626,EXACT_VECTOR_MATCH,fraction
ember,49,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7646905151140465,0.7871403037873604,0.7653029908339412,0.15074183988935486,-0.15074183988935486,0.9017285513770964,0.7450208747420783,0.9613869188337274,0.6665492490816206,0.7614020378103583,0.7343184881992438,EXACT_VECTOR_MATCH,fraction
ember,50,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7004542777170047,0.7833996455991865,0.7968594705979175,0.21454324455362359,-0.21454324455362359,0.8954935909475717,0.6852104492903581,0.8528925619834711,0.6843094749880316,0.7606351971486977,0.7369176428441091,EXACT_VECTOR_MATCH,fraction
ember,51,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7550957115355221,0.8093099662905618,0.7955055063172974,0.1698378983743829,-0.1698378983743829,0.9094938009667793,0.734876639472994,0.957286432160804,0.6654846566188428,0.7637790937541984,0.730590274132476,EXACT_VECTOR_MATCH,fraction
ember,42,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.8056490292810833,0.8363542804301722,0.8593456710161774,0.06032674029414414,-0.059757480332094805,0.8599740114011695,0.79933065904433,0.8688327316486161,0.7494440538237677,0.8288708466199225,0.821415234279563,EXACT_VECTOR_MATCH,fraction
ember,43,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.820147277950003,0.8439450758644131,0.8425830186844624,0.05898230297644487,-0.05621857611522838,0.8712550744183925,0.8261671405331932,0.7599486521181001,0.7388073878980747,0.8229327234300915,0.8120317600608388,EXACT_VECTOR_MATCH,fraction
ember,44,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.8190247955476103,0.842053319303104,0.8526939703548088,0.05290023091384758,-0.0507655091435905,0.86517525840542,0.8199272751023715,0.81,0.7503962492369712,0.8291214628075236,0.8142474712146738,EXACT_VECTOR_MATCH,fraction
ember,45,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.8344538244220427,0.8595306584726695,0.8499744647121503,0.050790653533582364,-0.04625940353358236,0.8765078276343904,0.8410918520794581,0.7680735478478897,0.7520769637506636,0.8324515268190905,0.8184363537657059,EXACT_VECTOR_MATCH,fraction
ember,46,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7975269962527761,0.8502596647883202,0.8470957159947538,0.05869637410742219,-0.05285255775451758,0.8455747760296103,0.7846493103905254,0.9263038548752834,0.7368027692356841,0.8232712917959196,0.814023675246657,EXACT_VECTOR_MATCH,fraction
ember,47,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7759230104490633,0.7722335368911363,0.8280574531018122,0.06817678792599284,-0.06656140074642018,0.8364333747639907,0.760875786015404,0.9263952547856565,0.7386164665248621,0.823112998617796,0.8135723398763788,EXACT_VECTOR_MATCH,fraction
ember,48,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7832630479304264,0.8137556474317652,0.8288701673684294,0.08850924718881316,-0.0836073605478594,0.8592697393375714,0.7645473184733393,0.9704203425012974,0.7423642176321699,0.8278615694145208,0.8186991130286448,EXACT_VECTOR_MATCH,fraction
ember,49,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.8282736955344994,0.8328379500798129,0.8356766169597126,0.04969483175150721,-0.046090576288030274,0.8701742194327086,0.8159868018885795,0.9511426319936959,0.7377865546569885,0.8284485900848763,0.8177908910318199,EXACT_VECTOR_MATCH,fraction
ember,50,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7783609765140543,0.8235521689248007,0.8521142745902275,0.06402244284595722,-0.061952049471216,0.8346810214878869,0.7745441816034763,0.8165289256198347,0.7456643119010437,0.8269779418660141,0.8174327970379928,EXACT_VECTOR_MATCH,fraction
ember,51,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.8127503364271493,0.8522081768528832,0.8596162802961683,0.054924652717378265,-0.05382745095007341,0.8616843827453979,0.799301751979412,0.9472361809045227,0.7403520886136294,0.8241437585121847,0.8122644202087582,EXACT_VECTOR_MATCH,fraction
az_class,47,LOW,100,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.670896031246834,0.7649860814952743,0.7466342013411214,0.18667300075873683,-0.18667300075873683,0.8405987592093219,0.6505556405942927,0.8742999377722465,0.6411301429354215,0.676883607102733,0.7996863306207801,EXACT_VECTOR_MATCH,fraction
az_class,48,LOW,100,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7248843669543439,0.7442776856680656,0.730262978912539,0.14765645815345724,-0.14765645815345724,0.8591175107302141,0.698560250638752,0.9881255301102629,0.6414590091968428,0.6862831925086309,0.8016602619241929,EXACT_VECTOR_MATCH,fraction
az_class,49,LOW,100,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.6762830585969485,0.7419915824701167,0.7404468939517712,0.14802740876780388,-0.14802740876780388,0.8108534302040429,0.6533348677825856,0.9057649667405765,0.6509650943917862,0.677876652054782,0.8006815192419933,EXACT_VECTOR_MATCH,fraction
az_class,50,LOW,100,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.6463369370655461,0.7496489311304898,0.7670237193795258,0.18815765483127783,-0.18760106856040587,0.8168833630295513,0.6305423939035828,0.804282368685179,0.6364532996821519,0.6736937395691264,0.7923848243489391,EXACT_VECTOR_MATCH,fraction
az_class,51,LOW,100,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7242806189093134,0.7631156747870903,0.7139628270462415,0.15514429966499513,-0.15514429966499513,0.8653208913320363,0.70188242597399,0.9482625482625483,0.6309263429101002,0.6736192923406732,0.7950044542385136,EXACT_VECTOR_MATCH,fraction
az_class,42,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7648899062777578,0.8162745987616595,0.7817452759579141,0.05289284256677128,-0.03959543624604887,0.8008857574105295,0.8051530015887292,0.3622589531680441,0.7166421483645428,0.7406447646813922,0.8633153911495763,EXACT_VECTOR_MATCH,fraction
az_class,43,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7809772337240212,0.7807178460123615,0.7715516369115097,0.05249763313602377,-0.04166384456983276,0.8188534560602327,0.7659715088205612,0.9310344827586207,0.7097683780846973,0.7470522035060805,0.8592241495743523,EXACT_VECTOR_MATCH,fraction
az_class,44,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7808649567140894,0.8322586642977705,0.7923530046695878,0.04409868254903241,-0.03551994670686946,0.813155817356698,0.7748043376106093,0.8414711477488903,0.7195285866120047,0.7497535309230359,0.8643103034822694,EXACT_VECTOR_MATCH,fraction
az_class,45,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7575321074666413,0.8277958630087873,0.7918497578091888,0.04050993373235167,-0.03525128699275795,0.7895787320055123,0.7535256139619191,0.7975970425138632,0.7141443931274596,0.7424820061565088,0.863616846224199,EXACT_VECTOR_MATCH,fraction
az_class,46,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7896725991875158,0.799321833694664,0.7638482735181756,0.05944351575517056,-0.058043908374975396,0.8424397886193116,0.7927913981749335,0.7584846093133386,0.702994870521145,0.742833059390598,0.8646389284827802,EXACT_VECTOR_MATCH,fraction
az_class,47,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7378694262923333,0.7903178474232798,0.7906498297637033,0.07771072647804142,-0.06736939234587638,0.7991143284249482,0.7270266240553563,0.8462974486621033,0.7109652041704072,0.747715872476972,0.8640922927099396,EXACT_VECTOR_MATCH,fraction
az_class,48,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7685036089684657,0.781446480699547,0.773173845753341,0.08729338609852882,-0.06303442597607799,0.825807632583082,0.7464565992122163,0.9889737065309584,0.7038683581857726,0.7475590910198044,0.8605870547706932,EXACT_VECTOR_MATCH,fraction
az_class,49,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7376125585138602,0.7768175812410132,0.7865627143593792,0.06533908082901584,-0.047628918934857135,0.7809115757273666,0.7263405549417428,0.8503325942350333,0.7108193713218036,0.7373008039967899,0.8653902438291,EXACT_VECTOR_MATCH,fraction
az_class,50,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7431413860966704,0.787373899786197,0.8142107176153036,0.058470031425703936,-0.04385914669149279,0.783013337634391,0.7382651600358789,0.7919036467045835,0.7096189695006438,0.7386581084328211,0.8612467167384213,EXACT_VECTOR_MATCH,fraction
az_class,51,HIGH,400,NEW_T4,NEW_V15_5_FAITHFUL_T4,0.7824724686710735,0.8029223419215391,0.7594512443835051,0.08046240821987341,-0.07574137817695496,0.8513282670137599,0.773924348742814,0.8679536679536679,0.7106386531501855,0.744508310139458,0.861873253356636,EXACT_VECTOR_MATCH,fraction
ember,42,LOW,25,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7104609090909091,0.789024779614325,0.8000300636208121,0.21294049999999998,-0.21294049999999998,0.9040431818181819,0.6900509,0.914561,0.662219574178462,0.7107614476375771,0.7260199033269157,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,43,LOW,25,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7598336363636363,0.8152568638757707,0.7865078922725872,0.1740674,-0.1740674,0.9180767272727273,0.7550725,0.807445,0.686138832494194,0.7642017788735419,0.7411923074820487,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,44,LOW,25,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7406598181818183,0.802623327049718,0.8020424047368224,0.1818808,-0.1818808,0.906006,0.7293925,0.853333,0.6737503920952365,0.7507780449596468,0.7353132903048573,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,45,LOW,25,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7558911818181818,0.8180463475534566,0.7993518525601537,0.17336829999999998,-0.17336829999999998,0.9134987272727273,0.7475271,0.839532,0.6807157382401734,0.7629593200950044,0.7364288964854285,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,46,LOW,25,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.746912,0.8161732987373737,0.7871485547784057,0.1688342,-0.1688342,0.9003976363636365,0.7263651,0.952381,0.6666780686367036,0.7531164977529002,0.7361351059253769,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,42,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7817606363636365,0.8238942873966942,0.846862872211187,0.0956485,-0.0956485,0.8687138181818181,0.7748585,0.850782,0.7277835130791821,0.8126552491363538,0.797917596643079,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,43,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.8101532727272727,0.8416220762724649,0.8312392196482901,0.0812859,-0.0798774,0.8827690909090908,0.8165858,0.745828,0.7338408527303312,0.8163694943805784,0.7973360841275092,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,44,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7853905454545455,0.8290873793486817,0.8408963710233951,0.0958983,-0.095777,0.8724605454545454,0.7812629,0.826667,0.7271131847562086,0.8004237203577487,0.790698538881888,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,45,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.8134740909090908,0.8449852137839433,0.8340414089451962,0.07573540000000002,-0.07573540000000002,0.8823244545454546,0.8200618000000001,0.747597,0.7278329798777622,0.8078601878478097,0.793306978445204,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,46,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7974227272727272,0.8413861109208973,0.8319592288676635,0.0706598,-0.0706598,0.8616589090909091,0.7836276,0.935374,0.7174219793461515,0.8048214541470325,0.7962775795256956,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,47,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7613695454545454,0.7504683786632559,0.8104228970888504,0.1013773,-0.1000673,0.8523398181818181,0.7445165,0.9299,0.7152487533557654,0.8022339115312742,0.7924180164212403,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,48,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7643014545454545,0.8019960595041322,0.8118431556540266,0.1251642,-0.1251642,0.8780870909090909,0.7440009,0.967307,0.7239063138918514,0.8108527798955316,0.7988477705834017,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,49,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.8151566363636363,0.8239270186737504,0.8138999984672751,0.0706002,-0.070509,0.8792557272727273,0.8023461,0.943262,0.7231681417708659,0.8061517820252878,0.7965583074671163,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,50,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7575165454545455,0.820492734615637,0.8412668767835556,0.1129419,-0.1129419,0.860191,0.7515327,0.817355,0.7203972939861736,0.8049151522016729,0.8028952767464461,INFERRED_FROM_SEEDED_PROTOCOL,fraction
ember,51,MAIN,100,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7887228181818181,0.8397974695461105,0.8422754201890951,0.09304050000000003,-0.09042140000000003,0.870924090909091,0.7732484,0.943467,0.7108472350735575,0.8039835868317254,0.788012496549361,INFERRED_FROM_SEEDED_PROTOCOL,fraction
