dataset,k_level,K,metric,unit,N,mean,sample_sd
ember,LOW,25,final_tm_accuracy,fraction,10,0.7317372873740727,0.030857011430420238
ember,LOW,25,tm_aia,fraction,10,0.7889749970490672,0.034082868239212555
ember,LOW,25,sw_aia,fraction,10,0.7857516329915479,0.0166063882846791
ember,LOW,25,forgetting,fraction,10,0.19131903888210744,0.03268516799022094
ember,LOW,25,bwt,fraction,10,-0.19131903888210744,0.03268516799022094
ember,LOW,25,acquisition,fraction,10,0.9056636863578068,0.007846019743259805
ember,LOW,25,final_old_task_accuracy,fraction,10,0.7140592417184636,0.03633915427487896
ember,LOW,25,final_new_task_accuracy,fraction,10,0.9085177439301649,0.06383833376310273
ember,LOW,25,macro_f1,fraction,10,0.6704278993310646,0.010323316935216651
ember,LOW,25,weighted_f1,fraction,10,0.7524158368555992,0.016283720693300523
ember,LOW,25,balanced_accuracy,fraction,10,0.7348076487328651,0.004032839193445296
ember,MAIN,100,final_tm_accuracy,fraction,10,0.7875268272727273,0.02162825597437344
ember,MAIN,100,tm_aia,fraction,10,0.8217656728725568,0.028249096473060186
ember,MAIN,100,sw_aia,fraction,10,0.8304707448878534,0.013631462953104998
ember,MAIN,100,forgetting,fraction,10,0.0922352,0.01809875246032168
ember,MAIN,100,bwt,fraction,10,-0.09168019000000001,0.018139328060411228
ember,MAIN,100,acquisition,fraction,10,0.8708724545454546,0.01024496847717235
ember,MAIN,100,final_old_task_accuracy,fraction,10,0.77920412,0.027665978267893507
ember,MAIN,100,final_new_task_accuracy,fraction,10,0.8707539,0.08400344942447965
ember,MAIN,100,macro_f1,fraction,10,0.7227560247867849,0.0068847368950158494
ember,MAIN,100,weighted_f1,fraction,10,0.8070267318355016,0.004946602488615636
ember,MAIN,100,balanced_accuracy,fraction,10,0.7954268645390942,0.004348812408213266
ember,HIGH,200,final_tm_accuracy,fraction,10,0.8055372990308708,0.02101951318690689
ember,HIGH,200,tm_aia,fraction,10,0.8326730479039077,0.025242955758649807
ember,HIGH,200,sw_aia,fraction,10,0.8456027633078703,0.011521654800763835
ember,HIGH,200,forgetting,fraction,10,0.060702426425508986,0.011357324541553235
ember,HIGH,200,bwt,fraction,10,-0.057789236488261286,0.011187251431490705
ember,HIGH,200,acquisition,fraction,10,0.8580729685656538,0.014530593389623382
ember,HIGH,200,final_old_task_accuracy,fraction,10,0.7986422077110089,0.027243087515334365
ember,HIGH,200,final_new_task_accuracy,fraction,10,0.8744882122294897,0.08009974825273086
ember,HIGH,200,macro_f1,fraction,10,0.7432311063273855,0.005725001284184921
ember,HIGH,200,weighted_f1,fraction,10,0.826719270996794,0.0032229356674109175
ember,HIGH,200,balanced_accuracy,fraction,10,0.8159914055751033,0.003168902499386229
az_class,LOW,100,final_tm_accuracy,fraction,10,0.7007417649136622,0.027666158332639978
az_class,LOW,100,tm_aia,fraction,10,0.7629154709181497,0.01874852434339508
az_class,LOW,100,sw_aia,fraction,10,0.7366391998609565,0.016578442308576132
az_class,LOW,100,forgetting,fraction,10,0.1470209922176271,0.024547916392340316
az_class,LOW,100,bwt,fraction,10,-0.1469653335905399,0.02444469585505822
az_class,LOW,100,acquisition,fraction,10,0.8343466136323349,0.019659967901133044
az_class,LOW,100,final_old_task_accuracy,fraction,10,0.6886654678893203,0.03362872197726066
az_class,LOW,100,final_new_task_accuracy,fraction,10,0.8215047351570813,0.1645482664181481
az_class,LOW,100,macro_f1,fraction,10,0.6403349446738764,0.009671065897614173
az_class,LOW,100,weighted_f1,fraction,10,0.680135778658261,0.005592022867046332
az_class,LOW,100,balanced_accuracy,fraction,10,0.7969085868865383,0.0036625806726109356
az_class,MAIN,200,final_tm_accuracy,fraction,10,0.7351041272727272,0.02196481797365075
az_class,MAIN,200,tm_aia,fraction,10,0.7811478705781845,0.02162642357406363
az_class,MAIN,200,sw_aia,fraction,10,0.7590771200345356,0.017136507011756067
az_class,MAIN,200,forgetting,fraction,10,0.09159115000000001,0.014925473137949993
az_class,MAIN,200,bwt,fraction,10,-0.08851255000000001,0.015034984528185516
az_class,MAIN,200,acquisition,fraction,10,0.8155700818181818,0.01868146477276132
az_class,MAIN,200,final_old_task_accuracy,fraction,10,0.72866618,0.025054949180320547
az_class,MAIN,200,final_new_task_accuracy,fraction,10,0.7994836,0.15712500704866952
az_class,MAIN,200,macro_f1,fraction,10,0.6754453048446651,0.005290260974846835
az_class,MAIN,200,weighted_f1,fraction,10,0.7131539767812194,0.005959287032384076
az_class,MAIN,200,balanced_accuracy,fraction,10,0.8355126904212258,0.004849682607918818
az_class,HIGH,400,final_tm_accuracy,fraction,10,0.7643536251912428,0.019575525976096627
az_class,HIGH,400,tm_aia,fraction,10,0.7995246956846819,0.019976253688748672
az_class,HIGH,400,sw_aia,fraction,10,0.7825396300741608,0.016191645319779
az_class,HIGH,400,forgetting,fraction,10,0.06187182407905131,0.01568063097943497
az_class,HIGH,400,bwt,fraction,10,-0.05077076850157437,0.014303260080355344
az_class,HIGH,400,acquisition,fraction,10,0.8105088692835831,0.024241864610746632
az_class,HIGH,400,final_old_task_accuracy,fraction,10,0.7604259147144761,0.026830572407536266
az_class,HIGH,400,final_new_task_accuracy,fraction,10,0.8036307299589103,0.1690416560093025
az_class,HIGH,400,macro_f1,fraction,10,0.7108988933038662,0.005086873849025038
az_class,HIGH,400,weighted_f1,fraction,10,0.7438507750723461,0.004180221847218678
az_class,HIGH,400,balanced_accuracy,fraction,10,0.8628295180317967,0.0019978208086404423
