dataset,metric,monotonic_increasing_raw,monotonic_decreasing_raw,non_monotonic,low_to_main_slope_mean,main_to_high_slope_mean,direction_convention
ember,final_tm_accuracy,10,0,0,0.05578953989865447,0.018010471758143576,higher_better
ember,tm_aia,10,0,0,0.032790675823489615,0.010907375031350985,higher_better
ember,sw_aia,10,0,0,0.04471911189630555,0.015132018420016814,higher_better
ember,forgetting,0,10,0,-0.09908383888210745,-0.03153277357449102,lower_better
ember,bwt,10,0,0,0.09963884888210744,0.033890953511738715,higher_better
ember,acquisition,0,10,0,-0.03479123181235231,-0.01279948597980073,higher_better
ember,final_old_task_accuracy,10,0,0,0.06514487828153644,0.019438087711008932,higher_better
ember,final_new_task_accuracy,0,4,6,-0.03776384393016491,0.003734312229489645,higher_better
ember,macro_f1,10,0,0,0.0523281254557203,0.02047508154060055,higher_better
ember,weighted_f1,10,0,0,0.05461089497990226,0.019692539161292467,higher_better
ember,balanced_accuracy,10,0,0,0.06061921580622901,0.020564541036009153,higher_better
az_class,final_tm_accuracy,10,0,0,0.034362362359065035,0.0292494979185156,higher_better
az_class,tm_aia,10,0,0,0.01823239966003475,0.018376825106497442,higher_better
az_class,sw_aia,10,0,0,0.02243792017357906,0.02346251003962523,higher_better
az_class,forgetting,0,9,1,-0.055429842217627076,-0.029719325920948697,lower_better
az_class,bwt,10,0,0,0.05845278359053988,0.037741781498425636,higher_better
az_class,acquisition,0,6,4,-0.018776531814153008,-0.005061212534598669,higher_better
az_class,final_old_task_accuracy,10,0,0,0.04000071211067968,0.03175973471447606,higher_better
az_class,final_new_task_accuracy,1,3,6,-0.02202113515708131,0.004147129958910317,higher_better
az_class,macro_f1,10,0,0,0.03511036017078868,0.03545358845920107,higher_better
az_class,weighted_f1,10,0,0,0.033018198122958274,0.030696798291126738,higher_better
az_class,balanced_accuracy,10,0,0,0.03860410353468744,0.027316827610571005,higher_better
