task_id,task_number,seen_classes,seen_average_accuracy,final_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,old_class_accuracy,new_class_accuracy,taskwise_accuracies
0,1,50,0.5945510756150972,0.449182017261368,0.5548547336793864,0.5725009765776254,0.733580069978608,,0.5945510756150972,[0.5945510756150972]
1,2,55,0.5200177819092761,0.2653606411398041,0.5273828399895194,0.5364786579435193,0.6902568427042217,0.5787710936493624,0.46126447016918964,"[0.5787710936493624, 0.46126447016918964]"
2,3,60,0.4214026171486845,0.24788732394366197,0.47422209255721887,0.5167598115576805,0.641056706010972,0.5535111411208643,0.23380281690140844,"[0.5664691485250547, 0.4639358860195904, 0.23380281690140844]"
3,4,65,0.3799660012491769,0.09064609450337512,0.4559682473483704,0.502592349820328,0.6139069888091705,0.5462569647487174,0.22468659594985535,"[0.5622826226974108, 0.4821905609973286, 0.2507042253521127, 0.22468659594985535]"
4,5,70,0.37896638771597957,0.37298294144767175,0.4347648666188877,0.47034120157766945,0.5832469056436584,0.477562095595909,0.6366989396035039,"[0.5216411181244365, 0.3806767586821015, 0.2507042253521127, 0.1051108968177435, 0.6366989396035039]"
5,6,75,0.34652859770791605,0.4090909090909091,0.4290621304359885,0.46201333194851507,0.5682560267914365,0.47133548961702526,0.4090909090909091,"[0.518034265103697, 0.340160284951024, 0.24788732394366197, 0.055930568948891035, 0.508068234209313, 0.4090909090909091]"
6,7,80,0.32038902552693554,0.27890679747722497,0.4014793178112742,0.41362239163923764,0.5287151563924636,0.41864507570559445,0.3882270497547302,"[0.4612263300270514, 0.2902938557435441, 0.24788732394366197, 0.03085824493731919, 0.47763946519133244, 0.3465909090909091, 0.3882270497547302]"
7,8,85,0.3616951104915579,0.5429936305732485,0.4070573054801664,0.4318391028714005,0.5438219666169631,0.4307368601855033,0.552547770700637,"[0.4726909699858302, 0.35218165627782727, 0.24788732394366197, 0.05978784956605593, 0.4900875979714154, 0.375, 0.3433777154870357, 0.552547770700637]"
8,9,90,0.35902432401342044,0.4968789013732834,0.38693043211340794,0.4077508555773966,0.5290860023809777,0.39329367666232073,0.6054931335830213,"[0.4381682339301816, 0.2965271593944791, 0.24225352112676057, 0.05785920925747348, 0.32872291378515445, 0.42424242424242425, 0.28381219341275404, 0.554140127388535, 0.6054931335830213]"
9,10,95,0.3437619985062484,0.26666666666666666,0.37707792871808155,0.40327671601463516,0.49876436856566475,0.40097227891787585,0.2927536231884058,"[0.4255442483575937, 0.2742653606411398, 0.24788732394366197, 0.05978784956605593, 0.31627478100507145, 0.39204545454545453, 0.27330063069376315, 0.5477707006369427, 0.6079900124843945, 0.2927536231884058]"
10,11,100,0.3200757002974549,0.10023677979479084,0.3736288014755007,0.39354712074622805,0.5057880884222892,0.40828814304558114,0.10023677979479084,"[0.449182017261368, 0.2653606411398041, 0.24788732394366197, 0.09064609450337512, 0.37298294144767175, 0.4090909090909091, 0.27890679747722497, 0.5429936305732485, 0.4968789013732834, 0.26666666666666666, 0.10023677979479084]"
