task_id,task_number,seen_classes,seen_average_accuracy,final_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,old_class_accuracy,new_class_accuracy,taskwise_accuracies
0,1,50,0.7370756600843132,0.4553472376303528,0.6272358589293396,0.7336296097012038,0.7874714467462975,,0.7370756600843132,[0.7370756600843132]
1,2,55,0.6897300533203137,0.29877135151333534,0.6207815798148965,0.7098474791714475,0.7691398194020325,0.7078988240514755,0.6715612825891519,"[0.7078988240514755, 0.6715612825891519]"
2,3,60,0.6488076523143628,0.23016496465043204,0.6248217569659285,0.6759097905193536,0.7338510271972791,0.6652000936110462,0.6535742340926944,"[0.6737297537164411, 0.6191189691339527, 0.6535742340926944]"
3,4,65,0.577389393302733,0.20719844357976655,0.5855148232362204,0.663128563633396,0.7246889927899264,0.6546072974644404,0.617704280155642,"[0.6879853561127136, 0.5513934671860953, 0.45247446975648076, 0.617704280155642]"
4,5,70,0.5472127595655133,0.15845070422535212,0.5508428535377619,0.6302495202243262,0.68160022674058,0.637116538494042,0.34507042253521125,"[0.6596960284002662, 0.5534911597243033, 0.5192458758837392, 0.6585603112840467, 0.34507042253521125]"
5,6,75,0.44428232335332996,0.14146772767462423,0.4862668194442504,0.5235019286586985,0.626348476406168,0.5331765288437732,0.3536693191865606,"[0.5518637674728201, 0.5427030266706623, 0.24194815396700706, 0.6498054474708171, 0.3257042253521127, 0.3536693191865606]"
6,7,80,0.4992020450505739,0.08491508491508491,0.5294997179078634,0.563459904926858,0.6610846761190471,0.5426374926079243,0.8521478521478522,"[0.5868094075881961, 0.4803715912496254, 0.3715632364493323, 0.6488326848249028, 0.32922535211267606, 0.22546419098143236, 0.8521478521478522]"
7,8,85,0.4722280825304678,0.08741594620557157,0.4887439424407868,0.5289019836687262,0.6323340697225672,0.5270044754608207,0.5168107588856868,"[0.5594630574661638, 0.47048246928378784, 0.28436763550667715, 0.6507782101167315, 0.2623239436619718, 0.1874447391688771, 0.8461538461538461, 0.5168107588856868]"
8,9,90,0.4208196742080408,0.15892291446673706,0.4577839621510667,0.4895073078850925,0.5997945163440219,0.5132995220199219,0.27243928194297784,"[0.5597958730863102, 0.4201378483667965, 0.24587588373919875, 0.5904669260700389, 0.2130281690140845, 0.1989389920424403, 0.7862137862137862, 0.5004803073967339, 0.27243928194297784]"
9,10,95,0.4067702126177967,0.12021857923497267,0.45672843389860346,0.5055058974466865,0.592656223967386,0.513634346950616,0.18397085610200364,"[0.5798202795651209, 0.4432124662870842, 0.28515318146111546, 0.5301556420233463, 0.2992957746478873, 0.1865605658709107, 0.7842157842157842, 0.49759846301633043, 0.27771911298838436, 0.18397085610200364]"
10,11,100,0.2643494920292227,0.9649714582252206,0.38073901135760957,0.42927755607291135,0.46360264486689806,0.3519262981574539,0.9649714582252206,"[0.4553472376303528, 0.29877135151333534, 0.23016496465043204, 0.20719844357976655, 0.15845070422535212, 0.14146772767462423, 0.08491508491508491, 0.08741594620557157, 0.15892291446673706, 0.12021857923497267, 0.9649714582252206]"
