artifact_id,method,dataset,seed,artifact_type,release_relative_path,original_sha256,redistributed,reason_not_redistributed,metrics_supported,notes
anchored_hr:EMBER:42:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,42,original_full_result_json,historical_outputs/anchored_hr/ember/seed_42/full-result.json,16666bb9654878a6160edcfd1891dd7de83dec7ad917b8810882d44d0740ce03,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:43:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,43,original_full_result_json,historical_outputs/anchored_hr/ember/seed_43/full-result.json,423652ebd5a1119e5fbab37e88b1edfc34f375907896579dd8995e540db13abe,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:44:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,44,original_full_result_json,historical_outputs/anchored_hr/ember/seed_44/full-result.json,018672639db6f07999f6f275523688d48eb145a0d65e46341f837a6cf1938388,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:45:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,45,original_full_result_json,historical_outputs/anchored_hr/ember/seed_45/full-result.json,fbbd386d0b6b2fc1b9e495b47d2fb9d808267c2a67746f58944257ca435e524f,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:46:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,46,original_full_result_json,historical_outputs/anchored_hr/ember/seed_46/full-result.json,9ea71a5d33b1e984a0bbbdcfd03b24b428cbbedaa381546ae4ac6fdab257558f,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:47:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,47,original_full_result_json,historical_outputs/anchored_hr/ember/seed_47/full-result.json,8f8277db43fbb70d8b03b4bd2b847fbdffffd193a7b50964b30671b472174f48,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:48:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,48,original_full_result_json,historical_outputs/anchored_hr/ember/seed_48/full-result.json,9d6fedcfa7c2017da382169dd96b857146522b12cac59a3427f80527dff22acd,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:49:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,49,original_full_result_json,historical_outputs/anchored_hr/ember/seed_49/full-result.json,f86fab224069096a88ffa50fc6b9361ea0ea5f2bf408826199d38df702301b2c,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:50:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,50,original_full_result_json,historical_outputs/anchored_hr/ember/seed_50/full-result.json,e93ac1d65fdebbd055d469186c2de75aad8b7179d96501f8ae817aca30487e38,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:EMBER:51:full-result,AHR-MalCL-HR (hybrid_random_buffer),EMBER,51,original_full_result_json,historical_outputs/anchored_hr/ember/seed_51/full-result.json,9fcc4591fb22758d0622d3a8659c818e8dcad175b2a719b0c6427bab56825077,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:42:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,42,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_42/full-result.json,fbec63f32d9a3e7159bc33d6847bdcefaeea9fa88ac3faf337440d4075fa78e4,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:43:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,43,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_43/full-result.json,94d9c595b253dc079d43a804df29b968388e32998027bb21fd8d315ed5053d93,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:44:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,44,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_44/full-result.json,87b5c162b66a9f15978ae23161cbf0a71aa3ec48972e6c618da63fb0cf956fdf,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:45:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,45,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_45/full-result.json,59c9d3f635de0ea7ac70fad9065db8abc3719875c50d0838b62f6be0bb0cf031,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:46:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,46,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_46/full-result.json,777575f00383bf01f97fbdb77b0ea36c9e6af9f71f13560be6b51e9feb989617,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:47:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,47,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_47/full-result.json,93814b6d3a388f5efd3d5e9a8316cdda370fba61cf4b81cee4e4b05f122a3e4e,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:48:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,48,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_48/full-result.json,dd70f8cba28374e5a000c9ce4dec876dd1a0a19b134457de0abbd773b7f388fe,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:49:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,49,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_49/full-result.json,a7a6f0655c38cfa6ef522a6154bec70a2e8f7d1a7ca6404d3d9a6541c18f468a,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:50:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,50,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_50/full-result.json,d34b859d3d48e1f99335c51f28fd0240ff3baeeeea51cbbe13c362843dbe5981,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
anchored_hr:AZ-Class:51:full-result,AHR-MalCL-HR (hybrid_random_buffer),AZ-Class,51,original_full_result_json,historical_outputs/anchored_hr/az_class/seed_51/full-result.json,f3262618a4d412b7bbcc28bbdf240d6d5331247d848ed6e734fb1a9160424ab2,yes,,"raw_summary_metrics,classification_metrics,resources",Exact non-sensitive preserved output; no sample identifiers.
