baseline,dataset,k,metric,metric_label,metric_direction,n,mean_ahr,mean_baseline,mean_difference_ahr_minus_baseline,percentage_difference_ahr_minus_baseline,ci95_low,ci95_high,cohen_dz,winner_by_mean,paired_t_p_holm,wilcoxon_p_holm
ER,ember,100,mean_acc_seen,mean seen accuracy,higher_is_better,5,0.8369998087266065,0.8428875571149164,-0.005887748388309877,-0.6985212130147939,-0.03266719086178642,0.02089169408516666,-0.2729931816723718,ER,1.0,1.0
ER,ember,100,final_taskwise_average_accuracy,final taskwise accuracy,higher_is_better,5,0.7976402212479385,0.8109694213571356,-0.013329200109197071,-1.6436131570646662,-0.03051489932086518,0.003856499102471038,-0.9630325596067058,ER,1.0,1.0
ER,ember,100,forgetting,forgetting,lower_is_better,5,0.08384557425498695,0.11577145452809016,-0.03192588027310321,-27.57664262165497,-0.05902950897088213,-0.004822251575324288,-1.4625796637084434,AHR-MalCL-HR,0.5847586023044569,1.0
ER,ember,100,macro_f1,macro-F1,higher_is_better,5,0.7267985019579271,0.7560765973427944,-0.02927809538486732,-3.872371594063907,-0.04864679730733934,-0.009909393462395302,-1.8769227344650952,ER,0.30205380509611907,1.0
ER,ember,100,weighted_f1,weighted-F1,higher_is_better,5,0.8084260211739046,0.81911939493779,-0.01069337376388535,-1.3054719287531318,-0.047879679429213284,0.026492931901442585,-0.35705556076071765,ER,1.0,1.0
ER,ember,100,balanced_accuracy,balanced accuracy,higher_is_better,5,0.7951073555246752,0.804691604495968,-0.009584248971292819,-1.1910462241365216,-0.02073573670237285,0.0015672387597872109,-1.0671595740816182,ER,1.0,1.0
ER,ember,100,memory_MB,memory MB,lower_is_better,5,531.8472061157227,102.82356262207031,429.02364349365234,417.2425391158015,429.02364349365234,429.02364349365234,,ER,0.0,1.0
ER,ember,100,model_memory_MB,model memory MB,lower_is_better,5,350.03873443603516,11.919326782226562,338.1194076538086,2836.732424837898,338.1194076538086,338.1194076538086,,ER,0.0,1.0
DERPP,ember,100,mean_acc_seen,mean seen accuracy,higher_is_better,5,0.8369998087266065,0.8532826972426935,-0.016282888516086946,-1.9082642327922081,-0.04238270363391065,0.009816926601736754,-0.7746367691081374,DERPP,1.0,1.0
DERPP,ember,100,final_taskwise_average_accuracy,final taskwise accuracy,higher_is_better,5,0.7976402212479385,0.8223596842177144,-0.02471946296977594,-3.0059186319780267,-0.03761237212748096,-0.011826553812070923,-2.380631620766449,DERPP,0.16179514769023481,1.0
DERPP,ember,100,forgetting,forgetting,lower_is_better,5,0.08384557425498695,0.10715592018325279,-0.02331034592826584,-21.753670621652663,-0.049751634058497446,0.0031309422019657647,-1.0946371894684948,AHR-MalCL-HR,1.0,1.0
DERPP,ember,100,macro_f1,macro-F1,higher_is_better,5,0.7267985019579271,0.7600468495264815,-0.033248347568554416,-4.374512911838072,-0.05447300880268113,-0.012023686334427703,-1.9450617242013322,DERPP,0.2797687378503724,1.0
DERPP,ember,100,weighted_f1,weighted-F1,higher_is_better,5,0.8084260211739046,0.8260970712224002,-0.017671050048495583,-2.1391009197438757,-0.05366101119977601,0.018318911102784843,-0.609656302863034,DERPP,1.0,1.0
DERPP,ember,100,balanced_accuracy,balanced accuracy,higher_is_better,5,0.7951073555246752,0.8124772766685571,-0.01736992114388185,-2.137896239400644,-0.029399945758142615,-0.0053398965296210885,-1.7928147636896379,DERPP,0.3202360549365256,1.0
DERPP,ember,100,memory_MB,memory MB,lower_is_better,5,531.8472061157227,106.63825988769531,425.20894622802734,398.73957684214895,425.20894622802734,425.20894622802734,,DERPP,0.0,1.0
DERPP,ember,100,model_memory_MB,model memory MB,lower_is_better,5,350.03873443603516,11.919326782226562,338.1194076538086,2836.732424837898,338.1194076538086,338.1194076538086,,DERPP,0.0,1.0
Joint,ember,,mean_acc_seen,mean seen accuracy,higher_is_better,5,0.8369998087266065,0.8587997221907472,-0.02179991346414074,-2.538416455064803,-0.04949949984938704,0.0058996729211055615,-0.9772047616854829,Joint,1.0,1.0
Joint,ember,,final_taskwise_average_accuracy,final taskwise accuracy,higher_is_better,5,0.7976402212479385,0.8587997221907472,-0.06115950094280873,-7.121509167095964,-0.09307378670571231,-0.029245215179905144,-2.379484567913004,Joint,0.16179514769023481,1.0
Joint,ember,,forgetting,forgetting,lower_is_better,5,0.08384557425498695,0.0,0.08384557425498695,,0.06954249889612193,0.09814864961385197,7.278716524178261,Joint,0.0025852478873291855,1.0
Joint,ember,,macro_f1,macro-F1,higher_is_better,5,0.7267985019579271,0.8172931167040678,-0.0904946147461407,-11.07247973787937,-0.09768091501344565,-0.08330831447883576,-15.635848904451882,Joint,0.00013977470847310465,1.0
Joint,ember,,weighted_f1,weighted-F1,higher_is_better,5,0.8084260211739046,0.8924288296430516,-0.08400280846914698,-9.412829984744658,-0.09158900798398883,-0.07641660895430513,-13.749079868000349,Joint,0.00022007648143460918,1.0
Joint,ember,,balanced_accuracy,balanced accuracy,higher_is_better,5,0.7951073555246752,0.8131990626275171,-0.018091707102841848,-2.2247574959550453,-0.027966554389967202,-0.008216859815716493,-2.274852534168702,Joint,0.17618866842978362,1.0
Joint,ember,,memory_MB,memory MB,lower_is_better,5,531.8472061157227,11.919326782226562,519.9278793334961,4362.057428518393,519.9278793334961,519.9278793334961,,Joint,0.0,1.0
Joint,ember,,model_memory_MB,model memory MB,lower_is_better,5,350.03873443603516,11.919326782226562,338.1194076538086,2836.732424837898,338.1194076538086,338.1194076538086,,Joint,0.0,1.0
ER,az_class,200,mean_acc_seen,mean seen accuracy,higher_is_better,5,0.7576337456084697,0.7958075617049813,-0.03817381609651158,-4.796865213837115,-0.06161913288609917,-0.014728499306923996,-2.021685334707885,ER,0.2556776204970498,1.0
ER,az_class,200,final_taskwise_average_accuracy,final taskwise accuracy,higher_is_better,5,0.7431381495182756,0.7337570213175761,0.009381128200699473,1.2785060896390719,-0.03232745076658975,0.0510897071679887,0.27927609709450735,AHR-MalCL-HR,1.0,1.0
ER,az_class,200,forgetting,forgetting,lower_is_better,5,0.08434590504668307,0.1567809016943191,-0.07243499664763603,-46.20141603016478,-0.14072925374194573,-0.004140739553326334,-1.3169471544756555,AHR-MalCL-HR,0.7593791758202441,1.0
ER,az_class,200,macro_f1,macro-F1,higher_is_better,5,0.6748001724012352,0.702437789516546,-0.027637617115310743,-3.934528797821709,-0.06039857118835032,0.005123336957728833,-1.0474857994585138,ER,1.0,1.0
ER,az_class,200,weighted_f1,weighted-F1,higher_is_better,5,0.7132258932029711,0.7154541140638287,-0.0022282208608576325,-0.3114414771062234,-0.032771193021471856,0.028314751299756594,-0.09058390285085739,ER,1.0,1.0
ER,az_class,200,balanced_accuracy,balanced accuracy,higher_is_better,5,0.8347580429980068,0.8100391158338678,0.02471892716413897,3.0515720390481262,-0.017486427028458106,0.06692428135673605,0.7272205747610094,AHR-MalCL-HR,1.0,1.0
ER,az_class,200,memory_MB,memory MB,lower_is_better,5,637.1435699462891,198.02556610107422,439.11800384521484,221.7481371173481,439.11800384521484,439.11800384521484,,ER,0.0,1.0
ER,az_class,200,model_memory_MB,model memory MB,lower_is_better,5,358.14713287353516,12.145889282226562,346.0012435913086,2848.7106670536045,346.0012435913086,346.0012435913086,,ER,0.0,1.0
DERPP,az_class,200,mean_acc_seen,mean seen accuracy,higher_is_better,5,0.7576337456084697,0.798071639343013,-0.04043789373454314,-5.066950351453705,-0.0680252266104933,-0.012850560858592968,-1.8200482460246683,DERPP,0.31974721236535114,1.0
DERPP,az_class,200,final_taskwise_average_accuracy,final taskwise accuracy,higher_is_better,5,0.7431381495182756,0.730479863206487,0.012658286311788624,1.7328727250911866,-0.06617466752573928,0.09149124014931653,0.19937523113362407,AHR-MalCL-HR,1.0,1.0
DERPP,az_class,200,forgetting,forgetting,lower_is_better,5,0.08434590504668307,0.16566754510493475,-0.08132164005825168,-49.08724880708657,-0.1850367877120714,0.022393507595568046,-0.9735718939749046,AHR-MalCL-HR,1.0,1.0
DERPP,az_class,200,macro_f1,macro-F1,higher_is_better,5,0.6748001724012352,0.7019633685783907,-0.02716319617715548,-3.8696030865778814,-0.06321263912891392,0.008886246774602966,-0.9355917874918198,DERPP,1.0,1.0
DERPP,az_class,200,weighted_f1,weighted-F1,higher_is_better,5,0.7132258932029711,0.7164396472392908,-0.003213754036319649,-0.4485728907806041,-0.050151900841603474,0.04372439276896418,-0.08501406547927327,DERPP,1.0,1.0
DERPP,az_class,200,balanced_accuracy,balanced accuracy,higher_is_better,5,0.8347580429980068,0.806049916126207,0.0287081268717998,3.561581770241737,-0.035451702762655316,0.09286795650625491,0.5555789003129977,AHR-MalCL-HR,1.0,1.0
DERPP,az_class,200,memory_MB,memory MB,lower_is_better,5,637.1435699462891,205.64046478271484,431.5031051635742,209.83375310861692,431.5031051635742,431.5031051635742,,DERPP,0.0,1.0
DERPP,az_class,200,model_memory_MB,model memory MB,lower_is_better,5,358.14713287353516,12.145889282226562,346.0012435913086,2848.7106670536045,346.0012435913086,346.0012435913086,,DERPP,0.0,1.0
