check,severity,dataset,setting_type,method,k,seed,result_validity,paper_use_category,metric,status,detail
numeric_metric_columns,info,,,,,,,,mean_acc_seen,pass,mean_acc_seen is numeric where present
numeric_metric_columns,info,,,,,,,,min_acc_seen,pass,min_acc_seen is numeric where present
numeric_metric_columns,info,,,,,,,,final_taskwise_average_accuracy,pass,final_taskwise_average_accuracy is numeric where present
numeric_metric_columns,info,,,,,,,,forgetting,pass,forgetting is numeric where present
numeric_metric_columns,info,,,,,,,,backward_transfer,pass,backward_transfer is numeric where present
numeric_metric_columns,info,,,,,,,,bwt,pass,bwt is numeric where present
numeric_metric_columns,info,,,,,,,,precision_macro,pass,precision_macro is numeric where present
numeric_metric_columns,info,,,,,,,,precision_weighted,pass,precision_weighted is numeric where present
numeric_metric_columns,info,,,,,,,,recall_macro,pass,recall_macro is numeric where present
numeric_metric_columns,info,,,,,,,,recall_weighted,pass,recall_weighted is numeric where present
numeric_metric_columns,info,,,,,,,,macro_f1,pass,macro_f1 is numeric where present
numeric_metric_columns,info,,,,,,,,weighted_f1,pass,weighted_f1 is numeric where present
numeric_metric_columns,info,,,,,,,,balanced_accuracy,pass,balanced_accuracy is numeric where present
numeric_metric_columns,info,,,,,,,,old_class_accuracy,pass,old_class_accuracy is numeric where present
numeric_metric_columns,info,,,,,,,,new_class_accuracy,pass,new_class_accuracy is numeric where present
numeric_metric_columns,info,,,,,,,,plasticity_stability_gap,pass,plasticity_stability_gap is numeric where present
numeric_metric_columns,info,,,,,,,,memory_MB,pass,memory_MB is numeric where present
numeric_metric_columns,info,,,,,,,,replay_memory_MB,pass,replay_memory_MB is numeric where present
numeric_metric_columns,info,,,,,,,,generated_replay_MB,pass,generated_replay_MB is numeric where present
numeric_metric_columns,info,,,,,,,,real_buffer_MB,pass,real_buffer_MB is numeric where present
numeric_metric_columns,info,,,,,,,,model_memory_MB,pass,model_memory_MB is numeric where present
numeric_metric_columns,info,,,,,,,,gpu_peak_memory_MB,pass,gpu_peak_memory_MB is numeric where present
numeric_metric_columns,info,,,,,,,,mmd_real_generated,pass,mmd_real_generated is numeric where present
numeric_metric_columns,info,,,,,,,,wasserstein_real_generated,pass,wasserstein_real_generated is numeric where present
numeric_metric_columns,info,,,,,,,,feature_center_l2,pass,feature_center_l2 is numeric where present
numeric_metric_columns,info,,,,,,,,elapsed_minutes,pass,elapsed_minutes is numeric where present
expected_seed_coverage,info,az_class,ablation,classifier_real_only,100,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,ablation,hybrid_diversity_buffer,100,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,ablation,hybrid_random_buffer,100,,valid_memory_efficient_hr,memory_efficient_hr_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,ablation,malcl_like,100,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,ablation,plus_kd,100,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,ablation,real_buffer_only,100,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,ablation,wgan_projection_generated_only,100,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,az_class,final_best_performance,hybrid_random_buffer,200,,valid_main_hr,main_final_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,classifier_real_only,25,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,hybrid_diversity_buffer,25,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,hybrid_random_buffer,25,,valid_memory_efficient_hr,memory_efficient_hr_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,malcl_like,25,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,plus_kd,25,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,real_buffer_only,25,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,ablation,wgan_projection_generated_only,25,,valid_ablation,ablation_table,,pass,"seeds=[42, 43, 44, 45, 46]"
expected_seed_coverage,info,ember,final_best_performance,hybrid_random_buffer,100,,valid_main_hr,main_final_table,,pass,"seeds=[42, 43, 44, 45, 46]"
paper_claim_early_stop,info,,,,,,,,,pass,No early stopped paper-claim rows detected
final_config_flags,info,,,,,,,,,pass,Checked final main-method config flags
memory_efficient_hr_config_flags,info,,,,,,,,,pass,Checked valid memory-efficient HR config flags
