dataset,method,setting_type,k,result_validity,paper_use_category,validity_reason,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,seeds
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.137803669107594,0.0126135099522083,0.0056409331376016,0.122141927908952,0.153465410306236,0.1305399304994103,0.1264499432450714,0.1528801556453868,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,forgetting,5,0.9629409859866392,0.0100524465285035,0.0044955907555831,0.950459225038328,0.9754227469349503,0.961925898380367,0.9497528387059084,0.9761287578631874,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.6710760554931987,0.0128641371889679,0.005753017045283,0.6551031194777029,0.6870489915086945,0.671500972635277,0.6519962510598061,0.6871885816843111,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,forgetting,5,0.2099609595151744,0.02636220418622,0.0117895361194234,0.1772279596638484,0.2426939593665003,0.2142779120032515,0.1725918575389287,0.2443511744706646,"42,43,44,45,46"
az_class,hybrid_random_buffer,ablation,100,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result,mean_acc_seen,5,0.7336122714813581,0.0144508259291726,0.0064626058217293,0.7156692011807949,0.7515553417819213,0.7359395482979489,0.7144661597626837,0.7511489556893779,"42,43,44,45,46"
az_class,hybrid_random_buffer,ablation,100,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result,forgetting,5,0.128910164993309,0.0106241340221224,0.0047512571751068,0.1157185602659479,0.1421017697206702,0.1300743228883822,0.1192056303456737,0.1451837562131941,"42,43,44,45,46"
az_class,malcl_like,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.2367420620407557,0.0236186499787216,0.0105625813778391,0.2074156346760009,0.2660684894055105,0.2211847509084147,0.2195360659534753,0.2724523394337496,"42,43,44,45,46"
az_class,malcl_like,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,forgetting,5,0.8722509386959125,0.0251924030198553,0.0112663851337935,0.8409704388379183,0.9035314385539068,0.8695469082169642,0.8504977373017697,0.9136840040830518,"42,43,44,45,46"
az_class,plus_kd,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.6884136193880664,0.0086444628857303,0.0038659213282933,0.6776801010390465,0.6991471377370864,0.6869001146804966,0.6777364573209692,0.7008233971365052,"42,43,44,45,46"
az_class,plus_kd,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,forgetting,5,0.1970591740951281,0.0235460363494889,0.0105301075756276,0.1678229084595704,0.2262954397306858,0.1982361441433942,0.1609686205832496,0.2218578055870957,"42,43,44,45,46"
az_class,real_buffer_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.6826763201899329,0.0066815746639258,0.0029880910290557,0.6743800494784257,0.69097259090144,0.6836943499903526,0.6724695131100393,0.6894562509181,"42,43,44,45,46"
