dataset,setting_type,method,k,task,mean_accuracy,std_accuracy,n
az_class,final_best_performance,hybrid_random_buffer,200,1,0.8466899149505753,0.01309445016536811,5
az_class,final_best_performance,hybrid_random_buffer,200,2,0.7991300680791296,0.024727023230524024,5
az_class,final_best_performance,hybrid_random_buffer,200,3,0.7855023237668053,0.030324633632166063,5
az_class,final_best_performance,hybrid_random_buffer,200,4,0.7757628222210233,0.024731818525003398,5
az_class,final_best_performance,hybrid_random_buffer,200,5,0.7592860139735114,0.01800360665538537,5
az_class,final_best_performance,hybrid_random_buffer,200,6,0.7497741213060304,0.01733557043263337,5
az_class,final_best_performance,hybrid_random_buffer,200,7,0.7409464526567783,0.021171326940508373,5
az_class,final_best_performance,hybrid_random_buffer,200,8,0.7301694202528417,0.009876585202143238,5
az_class,final_best_performance,hybrid_random_buffer,200,9,0.7218998231441437,0.0068171459498413125,5
az_class,final_best_performance,hybrid_random_buffer,200,10,0.7152895998632846,0.007243904261151721,5
az_class,final_best_performance,hybrid_random_buffer,200,11,0.7095206414790434,0.008848862398152113,5
az_class,final_memory_efficient,hybrid_random_buffer,100,1,0.8463238518363088,0.013474974991981966,5
az_class,final_memory_efficient,hybrid_random_buffer,100,2,0.7936318251101928,0.02254619645234185,5
az_class,final_memory_efficient,hybrid_random_buffer,100,3,0.7588416545036542,0.016816903318550527,5
az_class,final_memory_efficient,hybrid_random_buffer,100,4,0.7249178331870432,0.019612575156364838,5
az_class,final_memory_efficient,hybrid_random_buffer,100,5,0.6893005514059534,0.012483814645454136,5
az_class,final_memory_efficient,hybrid_random_buffer,100,6,0.6667348936873077,0.005806889383422379,5
az_class,final_memory_efficient,hybrid_random_buffer,100,7,0.6567508676485164,0.009957761766706312,5
az_class,final_memory_efficient,hybrid_random_buffer,100,8,0.6310521845139825,0.010443842781149385,5
az_class,final_memory_efficient,hybrid_random_buffer,100,9,0.6164934906467873,0.010818409542788045,5
az_class,final_memory_efficient,hybrid_random_buffer,100,10,0.6073262960581294,0.015388329623101524,5
az_class,final_memory_efficient,hybrid_random_buffer,100,11,0.5896074792534753,0.014501730547430002,5
ember,final_best_performance,hybrid_random_buffer,100,1,0.8961408894749745,0.010897017362339771,5
ember,final_best_performance,hybrid_random_buffer,100,2,0.8775503128670248,0.012403344933122047,5
ember,final_best_performance,hybrid_random_buffer,100,3,0.8670424358476044,0.009060349803948108,5
ember,final_best_performance,hybrid_random_buffer,100,4,0.8434839090325372,0.011507028300505156,5
ember,final_best_performance,hybrid_random_buffer,100,5,0.8404039908266997,0.010104389156859142,5
ember,final_best_performance,hybrid_random_buffer,100,6,0.8302909866087654,0.013829308695618504,5
ember,final_best_performance,hybrid_random_buffer,100,7,0.82631586902289,0.007329732420479785,5
ember,final_best_performance,hybrid_random_buffer,100,8,0.8187588893659443,0.007315977922253757,5
ember,final_best_performance,hybrid_random_buffer,100,9,0.8087661574580473,0.00842696647032305,5
ember,final_best_performance,hybrid_random_buffer,100,10,0.8035197937269686,0.009493005763852634,5
ember,final_best_performance,hybrid_random_buffer,100,11,0.7947246617612154,0.0033526258786024687,5
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,1,0.9072556894243641,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,2,0.8745963639580661,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,3,0.8510708401976935,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,4,0.8129229777634547,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,5,0.7814786977332964,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,6,0.7546775130737943,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,7,0.736428517196872,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,8,0.6815308388860414,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,9,0.6623243695915139,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,10,0.6536671432482585,,1
ember,final_memory_efficient,ahr_malcl_v15_1_final_paper_critic2_ember_k25,25,11,0.5541478756230714,,1
ember,final_memory_efficient,hybrid_random_buffer,25,1,0.8961408894749745,0.010897017362339771,5
ember,final_memory_efficient,hybrid_random_buffer,25,2,0.8738095712902881,0.006698258284881318,5
ember,final_memory_efficient,hybrid_random_buffer,25,3,0.8369019650900992,0.013487858922270907,5
ember,final_memory_efficient,hybrid_random_buffer,25,4,0.7893714240925813,0.013050620340380526,5
ember,final_memory_efficient,hybrid_random_buffer,25,5,0.7743311047392402,0.017912289421432633,5
ember,final_memory_efficient,hybrid_random_buffer,25,6,0.7193858244768359,0.02442411345908574,5
ember,final_memory_efficient,hybrid_random_buffer,25,7,0.7115964527970264,0.02190160438736687,5
ember,final_memory_efficient,hybrid_random_buffer,25,8,0.6689480409063971,0.02344342435940658,5
ember,final_memory_efficient,hybrid_random_buffer,25,9,0.629387140099966,0.04848851570794514,5
ember,final_memory_efficient,hybrid_random_buffer,25,10,0.6276372666210795,0.032824314888569926,5
ember,final_memory_efficient,hybrid_random_buffer,25,11,0.5912888677901733,0.033540247132888265,5
