dataset,method,setting_type,k,new_class_accuracy,old_class_accuracy
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,0.5743801652892562,0.4686612314162393
az_class,classifier_real_only,ablation,100,0.978260834176558,0.0002742569120154
az_class,hybrid_diversity_buffer,ablation,100,0.7519264080655375,0.5679209091157483
az_class,hybrid_random_buffer,ablation,100,0.7388623782823496,0.6743425697823895
az_class,hybrid_random_buffer,final_best_performance,200,0.7310848564226998,0.7093995546917099
az_class,hybrid_random_buffer,final_memory_efficient,100,0.7359533605782264,0.5833700070090317
az_class,hybrid_random_buffer,memory_budget,0,0.8326446280991735,0.1532445493783893
az_class,hybrid_random_buffer,memory_budget,10,0.6790633608815427,0.3488397830818607
az_class,hybrid_random_buffer,memory_budget,25,0.5743801652892562,0.4621315527354558
az_class,hybrid_random_buffer,memory_budget,50,0.4242424242424242,0.5395285350647434
az_class,hybrid_random_buffer,memory_budget,100,0.4524793388429752,0.5949016859113883
az_class,hybrid_random_buffer,memory_budget,150,0.4214876033057851,0.6264064632751688
az_class,hybrid_random_buffer,memory_budget,200,0.3973829201101928,0.6671339506400561
az_class,malcl_like,ablation,100,0.9406461117262496,0.0539079783062917
az_class,plus_kd,ablation,100,0.72371803584617,0.5846709573959069
az_class,real_buffer_only,ablation,100,0.6971303476275922,0.5738355747241142
az_class,wgan_projection_generated_only,ablation,100,0.9516839674814604,0.1203624241002909
ember,ahr_malcl_v14_5_oracle_fidelity_k25,oracle_fidelity,25,0.8495788206979543,0.6019225504213184
ember,ahr_malcl_v14_5_ordering_giant_first,ordering_sensitivity,25,0.7488584474885844,0.624428848738241
ember,ahr_malcl_v14_5_ordering_random,ordering_sensitivity,25,0.8868832731648616,0.6211784747361057
ember,ahr_malcl_v14_5_scaler_incremental,scaler_sensitivity,25,0.8760529482551144,0.628448879019256
ember,ahr_malcl_v15_1_final_paper_critic2_ember_k25,final_memory_efficient,25,0.8989169675090253,0.5454324217442886
ember,classifier_real_only,ablation,25,0.9782510766942568,0.0
ember,hybrid_diversity_buffer,ablation,25,0.8665756858696628,0.5576132605649706
ember,hybrid_random_buffer,ablation,25,0.8734504933973815,0.722469548433991
ember,hybrid_random_buffer,final_best_performance,100,0.8212496298866281,0.7940442208781924
ember,hybrid_random_buffer,final_memory_efficient,25,0.867884285482306,0.5790006330548267
ember,hybrid_random_buffer,memory_budget,0,0.96028880866426,0.1920725215222218
ember,hybrid_random_buffer,memory_budget,10,0.9386281588447654,0.5133087944513735
ember,hybrid_random_buffer,memory_budget,25,0.8796630565583634,0.6296048428801753
ember,hybrid_random_buffer,memory_budget,50,0.8483754512635379,0.6571350348310163
ember,hybrid_random_buffer,memory_budget,100,0.8664259927797834,0.7108265141605573
ember,malcl_like,ablation,25,0.9510704977686067,0.1613273746118696
ember,plus_kd,ablation,25,0.8682005766886467,0.5849949412754741
ember,real_buffer_only,ablation,25,0.8167844990538271,0.5421988656184155
ember,replay_drift_k0_no_anchor,replay_drift,0,0.967509025270758,0.2001642685486569
ember,replay_drift_k25_anchor,replay_drift,25,0.8880866425992779,0.6185319258966325
ember,wgan_projection_generated_only,ablation,25,0.9446125601107338,0.2045450799733113
