dataset,method,setting_type,k,elapsed_minutes,gpu_peak_memory_MB,memory_MB
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,56.74260765314102,2862.6552734375,451.2638931274414
az_class,classifier_real_only,ablation,100,1.7037020874023436,429.2080078125,358.1471328735352
az_class,hybrid_diversity_buffer,ablation,100,19.9774661509196,3041.49833984375,544.3806533813477
az_class,hybrid_random_buffer,ablation,100,13.757362310886382,3027.26796875,544.3806533813477
az_class,hybrid_random_buffer,final_best_performance,200,22.354953916072844,3065.92021484375,637.1435699462891
az_class,hybrid_random_buffer,final_memory_efficient,100,14.10283793926239,4876.398828125,544.3806533813477
az_class,hybrid_random_buffer,memory_budget,0,60.853690803051,2862.6552734375,427.9847030639648
az_class,hybrid_random_buffer,memory_budget,10,52.93184698025386,2862.6552734375,437.2963790893554
az_class,hybrid_random_buffer,memory_budget,25,55.37244000434875,2862.6552734375,451.2638931274414
az_class,hybrid_random_buffer,memory_budget,50,57.43081826766332,2862.6552734375,474.543083190918
az_class,hybrid_random_buffer,memory_budget,100,71.36240670283635,2862.6552734375,521.1014633178711
az_class,hybrid_random_buffer,memory_budget,150,68.25425683657328,2862.6552734375,567.6598434448242
az_class,hybrid_random_buffer,memory_budget,200,11.152017418543496,3257.11474609375,613.8643798828125
az_class,malcl_like,ablation,100,4.563393123944601,2652.66796875,451.2531509399414
az_class,plus_kd,ablation,100,18.776873177687328,2940.0517578125,544.3806533813477
az_class,real_buffer_only,ablation,100,1.7495976885159812,445.21533203125,451.2638931274414
az_class,wgan_projection_generated_only,ablation,100,11.580903878211975,2933.87841796875,451.2638931274414
ember,ahr_malcl_v14_5_oracle_fidelity_k25,oracle_fidelity,25,55.848153710365295,2797.2919921875,440.9429702758789
ember,ahr_malcl_v14_5_ordering_giant_first,ordering_sensitivity,25,56.34957724014918,2797.2919921875,440.9429702758789
ember,ahr_malcl_v14_5_ordering_random,ordering_sensitivity,25,55.72058458725611,2797.2919921875,440.9429702758789
ember,ahr_malcl_v14_5_scaler_incremental,scaler_sensitivity,25,69.15004395246505,2797.2919921875,440.9429702758789
ember,ahr_malcl_v15_1_final_paper_critic2_ember_k25,final_memory_efficient,25,7.69155151049296,4351.548828125,440.9429702758789
ember,classifier_real_only,ablation,25,1.7769266017278036,420.13671875,350.0387344360352
ember,hybrid_diversity_buffer,ablation,25,12.817171788215637,2867.11083984375,463.66902923583984
ember,hybrid_random_buffer,ablation,25,13.215598066647846,2934.06669921875,463.66902923583984
ember,hybrid_random_buffer,final_best_performance,100,15.116950137615206,3029.17353515625,531.8472061157227
ember,hybrid_random_buffer,final_memory_efficient,25,13.36003339926402,4796.26064453125,463.66902923583984
ember,hybrid_random_buffer,memory_budget,0,57.14145979086558,2797.2919921875,418.216911315918
ember,hybrid_random_buffer,memory_budget,10,55.73090782960256,2797.2919921875,427.3073348999024
ember,hybrid_random_buffer,memory_budget,25,57.21630307038625,2797.2919921875,440.9429702758789
ember,hybrid_random_buffer,memory_budget,50,59.63257629474004,2797.2919921875,463.66902923583984
ember,hybrid_random_buffer,memory_budget,100,73.57746444543203,2797.2919921875,509.1211471557617
ember,malcl_like,ablation,25,4.855417369206746,2592.451171875,440.9322280883789
ember,plus_kd,ablation,25,12.900226403872171,2879.6201171875,463.66902923583984
ember,real_buffer_only,ablation,25,1.77168481985728,435.85166015625,372.7647933959961
ember,replay_drift_k0_no_anchor,replay_drift,0,57.40295110146205,2797.2919921875,418.216911315918
ember,replay_drift_k25_anchor,replay_drift,25,56.36373296578725,2797.2919921875,440.9429702758789
ember,wgan_projection_generated_only,ablation,25,13.115245952606198,2971.49833984375,440.9429702758789
