dataset,method,method_raw,setting_type,k,runs,seeds,source_file,source_files,duplicate_source_count,source_kind,context_label,per_task_seen_mean,per_task_seen_min,per_task_seen_max,use_diversity_buffer,use_kd,use_proto_align,gan_train_on_real_buffer,use_wgan_gp,use_projection_critic,main_method_variant,classifier_backbone,clf_optimizer,scaler_mode,buffer_update_mode,result_validity,paper_use_category,validity_reason,mean_acc_seen,min_acc_seen,final_taskwise_average_accuracy,forgetting,backward_transfer,bwt,precision_macro,precision_weighted,recall_macro,recall_weighted,macro_f1,weighted_f1,balanced_accuracy,old_class_accuracy,new_class_accuracy,plasticity_stability_gap,memory_MB,replay_memory_MB,generated_replay_MB,real_buffer_MB,model_memory_MB,gpu_peak_memory_MB,mmd_real_generated,wasserstein_real_generated,feature_center_l2,elapsed_minutes
az_class,ahr_malcl_v14_5_az_validation_k25,ahr_malcl_v14_5_az_validation_k25,other,25,1,[42],result/AZ-Class/first run/ahr_malcl_v14_5_az_validation_k25_results.json,result/AZ-Class/first run/ahr_malcl_v14_5_az_validation_k25_results.json,1,aggregate,az,"[0.8284886273821024, 0.7771207641573801, 0.7211413748378729, 0.646339342646803, 0.6232255419463947, 0.6081328200192493, 0.5629995195877189, 0.55294025953782, 0.5258081938122059, 0.5406352602648762, 0.47403620574950106]","[0.8284886273821024, 0.7771207641573801, 0.7211413748378729, 0.646339342646803, 0.6232255419463947, 0.6081328200192493, 0.5629995195877189, 0.55294025953782, 0.5258081938122059, 0.5406352602648762, 0.47403620574950106]","[0.8284886273821024, 0.7771207641573801, 0.7211413748378729, 0.646339342646803, 0.6232255419463947, 0.6081328200192493, 0.5629995195877189, 0.55294025953782, 0.5258081938122059, 0.5406352602648762, 0.47403620574950106]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",0.6237152645401749,0.47403620574950106,0.5383970432520587,0.3626120163904365,-0.3626120163904365,-0.3626120163904365,,,,,0.4526595351794808,0.472914819167178,0.6165830190625757,0.46866123141623933,0.5743801652892562,0.10571893387301684,451.2638931274414,,,,,2862.6552734375,0.020166397094726562,0.08972529321908951,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k0,memory_budget,0,1,[42],result/AZ-Class/memory budget /k=0/ahr_malcl_v14_5_az_memory_k0_results.json,result/AZ-Class/memory budget /k=0/ahr_malcl_v14_5_az_memory_k0_results.json,1,aggregate,az,"[0.8284886273821024, 0.6881964976120082, 0.49587002525769674, 0.3918613413715147, 0.3643724696356275, 0.3837824831568816, 0.3134908503297375, 0.2699427146253069, 0.2533755111488311, 0.30187774375622534, 0.18778668720893588]","[0.8284886273821024, 0.6881964976120082, 0.49587002525769674, 0.3918613413715147, 0.3643724696356275, 0.3837824831568816, 0.3134908503297375, 0.2699427146253069, 0.2533755111488311, 0.30187774375622534, 0.18778668720893588]","[0.8284886273821024, 0.6881964976120082, 0.49587002525769674, 0.3918613413715147, 0.3643724696356275, 0.3837824831568816, 0.3134908503297375, 0.2699427146253069, 0.2533755111488311, 0.30187774375622534, 0.18778668720893588]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.4071859046804425,0.18778668720893588,0.2667056505619286,0.7399122500203741,-0.7399122500203741,-0.7399122500203741,,,,,0.19350205935104195,0.185414463772796,0.2314630631776107,0.15324454937838936,0.8326446280991735,0.6794000787207841,427.98470306396484,,,,,2862.6552734375,0.10731256008148193,0.23312681913375854,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k10,memory_budget,10,1,[42],result/AZ-Class/memory budget /k=10/ahr_malcl_v14_5_az_memory_k10_results.json,result/AZ-Class/memory budget /k=10/ahr_malcl_v14_5_az_memory_k10_results.json,1,aggregate,az,"[0.8284886273821024, 0.7664316579486014, 0.6595672059526247, 0.5809518288794853, 0.5286219443447958, 0.5254571703561116, 0.4698432109009914, 0.4637387475156853, 0.44251986729419024, 0.4672224886560667, 0.36562904863615675]","[0.8284886273821024, 0.7664316579486014, 0.6595672059526247, 0.5809518288794853, 0.5286219443447958, 0.5254571703561116, 0.4698432109009914, 0.4637387475156853, 0.44251986729419024, 0.4672224886560667, 0.36562904863615675]","[0.8284886273821024, 0.7664316579486014, 0.6595672059526247, 0.5809518288794853, 0.5286219443447958, 0.5254571703561116, 0.4698432109009914, 0.4637387475156853, 0.44251986729419024, 0.4672224886560667, 0.36562904863615675]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.554406527078801,0.36562904863615675,0.42993492005287487,0.5172052590059896,-0.5172052590059896,-0.5172052590059896,,,,,0.3739236121097786,0.367831796893344,0.4998223410422621,0.34883978308186075,0.6790633608815427,0.330223577799682,437.29637908935547,,,,,2862.6552734375,0.044054508209228516,0.11990947276353836,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k100,memory_budget,100,1,[42],result/AZ-Class/memory budget /k=100/ahr_malcl_v14_5_az_memory_k100_results.json,result/AZ-Class/memory budget /k=100/ahr_malcl_v14_5_az_memory_k100_results.json,1,aggregate,az,"[0.8284886273821024, 0.7976650746721249, 0.7762304594170251, 0.7396092980117095, 0.6930251627120382, 0.6818094321462945, 0.6453683888719046, 0.6507150929425977, 0.6200910423578427, 0.6259268823551112, 0.5876606323750831]","[0.8284886273821024, 0.7976650746721249, 0.7762304594170251, 0.7396092980117095, 0.6930251627120382, 0.6818094321462945, 0.6453683888719046, 0.6507150929425977, 0.6200910423578427, 0.6259268823551112, 0.5876606323750831]","[0.8284886273821024, 0.7976650746721249, 0.7762304594170251, 0.7396092980117095, 0.6930251627120382, 0.6818094321462945, 0.6453683888719046, 0.6507150929425977, 0.6200910423578427, 0.6259268823551112, 0.5876606323750831]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.6951445539312577,0.5876606323750831,0.6418907448204677,0.20829408808763045,-0.204276833965246,-0.204276833965246,,,,,0.5664708507685939,0.5844314899938565,0.7486957479730948,0.5949016859113883,0.4524793388429752,-0.14242234706841306,521.1014633178711,,,,,2862.6552734375,0.0025649070739746094,0.042301245033741,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k150,memory_budget,150,1,[42],result/AZ-Class/memory budget /k=150/ahr_malcl_v14_5_az_memory_k150_results.json,result/AZ-Class/memory budget /k=150/ahr_malcl_v14_5_az_memory_k150_results.json,1,aggregate,az,"[0.8284886273821024, 0.8093397013115002, 0.7928186224315653, 0.7512028288215176, 0.7245426126172295, 0.7172762271414822, 0.6909202078874962, 0.6652507696504423, 0.6500270040891907, 0.6582063673589847, 0.6159879547603208]","[0.8284886273821024, 0.8093397013115002, 0.7928186224315653, 0.7512028288215176, 0.7245426126172295, 0.7172762271414822, 0.6909202078874962, 0.6652507696504423, 0.6500270040891907, 0.6582063673589847, 0.6159879547603208]","[0.8284886273821024, 0.8093397013115002, 0.7928186224315653, 0.7512028288215176, 0.7245426126172295, 0.7172762271414822, 0.6909202078874962, 0.6652507696504423, 0.6500270040891907, 0.6582063673589847, 0.6159879547603208]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.7185509930410757,0.6159879547603208,0.6516169801986395,0.1774875700089554,-0.17264020263004892,-0.17264020263004892,,,,,0.6090280874511349,0.6134714800325871,0.7842292984700994,0.6264064632751688,0.4214876033057851,-0.2049188599693837,567.6598434448242,,,,,2862.6552734375,0.004667520523071289,0.05567774176597595,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k200,memory_budget,200,1,[42],result/AZ-Class/memory budget /k=200/ahr_malcl_v14_5_az_memory_k200_results.json,result/AZ-Class/memory budget /k=200/ahr_malcl_v14_5_az_memory_k200_results.json,1,aggregate,az,"[0.8295424607007992, 0.8160867257978925, 0.7954126561540037, 0.7707958958900933, 0.7296674012196996, 0.7211742059672762, 0.6941957461676203, 0.6906979462998324, 0.6855566700100301, 0.6876821485225219, 0.6534192373682552]","[0.8295424607007992, 0.8160867257978925, 0.7954126561540037, 0.7707958958900933, 0.7296674012196996, 0.7211742059672762, 0.6941957461676203, 0.6906979462998324, 0.6855566700100301, 0.6876821485225219, 0.6534192373682552]","[0.8295424607007992, 0.8160867257978925, 0.7954126561540037, 0.7707958958900933, 0.7296674012196996, 0.7211742059672762, 0.6941957461676203, 0.6906979462998324, 0.6855566700100301, 0.6876821485225219, 0.6534192373682552]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.7340210085543659,0.6534192373682552,0.687708004779187,0.12215643280609285,-0.11815305971961228,-0.11815305971961228,,,,,0.63550890276011,0.6501524783607855,0.8014895020348528,0.6671339506400561,0.3973829201101928,-0.26975103052986327,613.8643798828125,,,,,3257.11474609375,0.0032809972763061523,0.04329937696456909,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k25,memory_budget,25,1,[42],result/AZ-Class/memory budget /k=25/ahr_malcl_v14_5_az_memory_k25_results.json,result/AZ-Class/memory budget /k=25/ahr_malcl_v14_5_az_memory_k25_results.json,1,aggregate,az,"[0.8284886273821024, 0.7793192328102494, 0.7182742849341252, 0.6516143991652658, 0.6318864346845693, 0.5892204042348412, 0.5625627811503691, 0.5446397256537158, 0.5160095671630276, 0.5310805327037297, 0.467838509751742]","[0.8284886273821024, 0.7793192328102494, 0.7182742849341252, 0.6516143991652658, 0.6318864346845693, 0.5892204042348412, 0.5625627811503691, 0.5446397256537158, 0.5160095671630276, 0.5310805327037297, 0.467838509751742]","[0.8284886273821024, 0.7793192328102494, 0.7182742849341252, 0.6516143991652658, 0.6318864346845693, 0.5892204042348412, 0.5625627811503691, 0.5446397256537158, 0.5160095671630276, 0.5310805327037297, 0.467838509751742]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.6200849545121578,0.467838509751742,0.5189256437859867,0.3782893287577787,-0.3782893287577787,-0.3782893287577787,,,,,0.4431158577031104,0.45922103357182875,0.6093989593272142,0.4621315527354558,0.5743801652892562,0.11224861255380036,451.2638931274414,,,,,2862.6552734375,0.014984488487243652,0.07778088748455048,,
az_class,hybrid_random_buffer,ahr_malcl_v14_5_az_memory_k50,memory_budget,50,1,[42],result/AZ-Class/memory budget /k=50/ahr_malcl_v14_5_az_memory_k50_results.json,result/AZ-Class/memory budget /k=50/ahr_malcl_v14_5_az_memory_k50_results.json,1,aggregate,az,"[0.8284886273821024, 0.7851565461299371, 0.7442146221585091, 0.6927134658860356, 0.6621739353251679, 0.6359961501443696, 0.6043149757610168, 0.5978332878687502, 0.5702877864362318, 0.5797395506695687, 0.5336671452081656]","[0.8284886273821024, 0.7851565461299371, 0.7442146221585091, 0.6927134658860356, 0.6621739353251679, 0.6359961501443696, 0.6043149757610168, 0.5978332878687502, 0.5702877864362318, 0.5797395506695687, 0.5336671452081656]","[0.8284886273821024, 0.7851565461299371, 0.7442146221585091, 0.6927134658860356, 0.6621739353251679, 0.6359961501443696, 0.6043149757610168, 0.5978332878687502, 0.5702877864362318, 0.5797395506695687, 0.5336671452081656]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.6576896448154413,0.5336671452081656,0.6041675130518714,0.2579211657560537,-0.25638859870624536,-0.25638859870624536,,,,,0.49292795808164136,0.5311293905324685,0.6827825698105996,0.5395285350647434,0.42424242424242425,-0.11528611082231915,474.54308319091797,,,,,2862.6552734375,0.003333568572998047,0.04499524086713791,,
ember,hybrid_random_buffer,ahr_malcl_v14_5_memory_k0,memory_budget,0,1,[42],result/EMBER/memory budget/k=0/ahr_malcl_v14_5_memory_k0_results.json,result/EMBER/memory budget/k=0/ahr_malcl_v14_5_memory_k0_results.json,1,aggregate,ember,"[0.9133065595716198, 0.8188614146060954, 0.7432042833607908, 0.5547051240734773, 0.5413979983385419, 0.28719736587255473, 0.2870700782021107, 0.26574406287374, 0.2916782978195465, 0.2745414169683327, 0.21101352955138855]","[0.9133065595716198, 0.8188614146060954, 0.7432042833607908, 0.5547051240734773, 0.5413979983385419, 0.28719736587255473, 0.2870700782021107, 0.26574406287374, 0.2916782978195465, 0.2745414169683327, 0.21101352955138855]","[0.9133065595716198, 0.8188614146060954, 0.7432042833607908, 0.5547051240734773, 0.5413979983385419, 0.28719736587255473, 0.2870700782021107, 0.26574406287374, 0.2916782978195465, 0.2745414169683327, 0.21101352955138855]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.47170183011256356,0.21101352955138855,0.40621107731699646,0.5883950574218784,-0.5883950574218784,-0.5883950574218784,,,,,0.22795103961687221,0.21533464665165666,0.2773548930318658,0.19207252152222187,0.9602888086642599,0.768216287142038,418.21691131591797,,,,,2797.2919921875,0.07377338409423828,0.2156757265329361,,
ember,hybrid_random_buffer,ahr_malcl_v14_5_memory_k10,memory_budget,10,1,[42],result/EMBER/memory budget/k=10/ahr_malcl_v14_5_memory_k10_results.json,result/EMBER/memory budget/k=10/ahr_malcl_v14_5_memory_k10_results.json,1,aggregate,ember,"[0.9133065595716198, 0.8782235590746229, 0.8520593080724876, 0.7788833387044796, 0.732386565924285, 0.7036993995738912, 0.6869637840710652, 0.6642747309072271, 0.6469092149747216, 0.6348066802543121, 0.5237953952053169]","[0.9133065595716198, 0.8782235590746229, 0.8520593080724876, 0.7788833387044796, 0.732386565924285, 0.7036993995738912, 0.6869637840710652, 0.6642747309072271, 0.6469092149747216, 0.6348066802543121, 0.5237953952053169]","[0.9133065595716198, 0.8782235590746229, 0.8520593080724876, 0.7788833387044796, 0.732386565924285, 0.7036993995738912, 0.6869637840710652, 0.6642747309072271, 0.6469092149747216, 0.6348066802543121, 0.5237953952053169]",True,True,True,True,True,True,,mlp,adamw,incremental,strict,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,0.7286644123940026,0.5237953952053169,0.5924023508096722,0.34938359614743464,-0.34938359614743464,-0.34938359614743464,,,,,0.4750250184380658,0.523293419343648,0.5733712467760615,0.5133087944513735,0.9386281588447654,0.4253193643933919,427.30733489990234,,,,,2797.2919921875,0.014268636703491211,0.09142938256263733,,
