source_file,setting_type,status,parsed_run_rows,parsed_aggregate_rows,file_size_bytes,error
result/AZ-Class/first run/ahr_malcl_v14_5_az_validation_k25_results.json,other,ok,1,1,27041,
result/AZ-Class/memory budget /k=0/ahr_malcl_v14_5_az_memory_k0_results.json,memory_budget,ok,1,1,26216,
result/AZ-Class/memory budget /k=10/ahr_malcl_v14_5_az_memory_k10_results.json,memory_budget,ok,1,1,26920,
result/AZ-Class/memory budget /k=100/ahr_malcl_v14_5_az_memory_k100_results.json,memory_budget,ok,1,1,26867,
result/AZ-Class/memory budget /k=150/ahr_malcl_v14_5_az_memory_k150_results.json,memory_budget,ok,1,1,26923,
result/AZ-Class/memory budget /k=200/ahr_malcl_v14_5_az_memory_k200_results.json,memory_budget,ok,1,1,26944,
result/AZ-Class/memory budget /k=25/ahr_malcl_v14_5_az_memory_k25_results.json,memory_budget,ok,1,1,27005,
result/AZ-Class/memory budget /k=50/ahr_malcl_v14_5_az_memory_k50_results.json,memory_budget,ok,1,1,27017,
result/EMBER/memory budget/k=0/ahr_malcl_v14_5_memory_k0_results.json,memory_budget,ok,1,1,27353,
result/EMBER/memory budget/k=10/ahr_malcl_v14_5_memory_k10_results.json,memory_budget,ok,1,1,28092,
result/EMBER/memory budget/k=100/ahr_malcl_v14_5_memory_k100_results.json,memory_budget,ok,1,1,28184,
result/EMBER/memory budget/k=25/ahr_malcl_v14_5_memory_k25_results.json,memory_budget,ok,1,1,28155,
result/EMBER/memory budget/k=50/ahr_malcl_v14_5_memory_k50_results.json,memory_budget,ok,1,1,28188,
result/EMBER/oracle-fidelity/ahr_malcl_v14_5_oracle_fidelity_k25_results.json,oracle_fidelity,ok,1,1,33917,
result/EMBER/ordering/ahr_malcl_v14_5_ordering_sensitivity_results.json,ordering_sensitivity,ok,2,2,59739,
result/EMBER/ordering/random/ahr_malcl_v14_5_ordering_random_results.json,ordering_sensitivity,ok,1,1,28176,
result/EMBER/reply drift /ahr_malcl_v14_5_replay_drift_results.json,replay_drift,ok,2,2,76383,
result/EMBER/scaler-sensitivity/incremental/ahr_malcl_v14_5_scaler_incremental_results.json,scaler_sensitivity,ok,1,1,28223,
result/final-run/AZ-Class/ablation/classifier_real_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_classifier_real_only_results.json,ablation,ok,5,1,168633,
result/final-run/AZ-Class/ablation/hybrid_diversity_buffer/ahr_malcl_v15_1_final_ablation_critic5_az_k100_hybrid_diversity_buffer_results.json,ablation,ok,5,1,203048,
result/final-run/AZ-Class/ablation/hybrid_diversity_buffer/seed=42/full-result.json,ablation,ok,1,0,32914,
result/final-run/AZ-Class/ablation/hybrid_diversity_buffer/seed=43/full-result.json,ablation,ok,1,0,33202,
result/final-run/AZ-Class/ablation/hybrid_diversity_buffer/seed=44/full-result.json,ablation,ok,1,0,33083,
result/final-run/AZ-Class/ablation/hybrid_diversity_buffer/seed=45/full-result.json,ablation,ok,1,0,32965,
result/final-run/AZ-Class/ablation/hybrid_diversity_buffer/seed=46/full-result.json,ablation,ok,1,0,33104,
result/final-run/AZ-Class/ablation/hybrid_random_buffer/ahr_malcl_v15_1_final_ablation_critic5_az_k100_hybrid_random_buffer_results.json,ablation,ok,5,1,203709,
result/final-run/AZ-Class/ablation/malcl_like/ahr_malcl_v15_1_final_ablation_critic5_az_k100_malcl_like_results.json,ablation,ok,5,1,182044,
result/final-run/AZ-Class/ablation/plus_kd/ahr_malcl_v15_1_final_ablation_critic5_az_k100_plus_kd_results.json,ablation,ok,5,1,202000,
result/final-run/AZ-Class/ablation/real_buffer_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_real_buffer_only_results.json,ablation,ok,5,1,196052,
result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,ablation,ok,5,1,190800,
result/final-run/AZ-Class/best-performance setting/K=200/ahr_malcl_hr_hybrid_random_buffer_az_k200_results.json,final_best_performance,ok,5,1,202984,
result/final-run/AZ-Class/best-performance setting/K=200/seed=42/full-result.json,final_best_performance,ok,1,0,32880,
result/final-run/AZ-Class/best-performance setting/K=200/seed=43/full-result.json,final_best_performance,ok,1,0,33057,
result/final-run/AZ-Class/best-performance setting/K=200/seed=44/full-result.json,final_best_performance,ok,1,0,33103,
result/final-run/AZ-Class/best-performance setting/K=200/seed=45/full-result.json,final_best_performance,ok,1,0,32921,
result/final-run/AZ-Class/best-performance setting/K=200/seed=46/full-result.json,final_best_performance,ok,1,0,33117,
result/final-run/AZ-Class/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_az_k100_results.json,final_memory_efficient,ok,5,1,201285,
result/final-run/AZ-Class/memory-efficient setting/seed=42/full-result.json,final_memory_efficient,ok,1,0,32638,
result/final-run/AZ-Class/memory-efficient setting/seed=43/full-result.json,final_memory_efficient,ok,1,0,32807,
result/final-run/AZ-Class/memory-efficient setting/seed=44/full-result.json,final_memory_efficient,ok,1,0,32778,
result/final-run/AZ-Class/memory-efficient setting/seed=45/full-result.json,final_memory_efficient,ok,1,0,32633,
result/final-run/AZ-Class/memory-efficient setting/seed=46/full-result.json,final_memory_efficient,ok,1,0,35491,
result/final-run/EMBER/ablations/classifier real only /ahr_malcl_v15_1_ablation_critic5_classifier_real_only_results.json,ablation,ok,5,1,174214,
result/final-run/EMBER/ablations/hybrid-random-buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_random_buffer_results.json,ablation,ok,5,1,210254,
result/final-run/EMBER/ablations/hybrid_diversity_buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_diversity_buffer_results.json,ablation,ok,5,1,210248,
result/final-run/EMBER/ablations/malcl-like/ahr_malcl_v15_1_ablation_critic5_malcl_like_results.json,ablation,ok,5,1,189059,
result/final-run/EMBER/ablations/plus_kd/ahr_malcl_v15_1_ablation_critic5_plus_kd_results.json,ablation,ok,5,1,208771,
