table,scope,metric,rows,missing,available,missing_percent
all_runs_long,all,mean_acc_seen,110,0,110,0.0
all_runs_long,all,min_acc_seen,110,0,110,0.0
all_runs_long,all,final_taskwise_average_accuracy,110,0,110,0.0
all_runs_long,all,forgetting,110,0,110,0.0
all_runs_long,all,backward_transfer,110,0,110,0.0
all_runs_long,all,bwt,110,0,110,0.0
all_runs_long,all,precision_macro,110,19,91,17.272727272727273
all_runs_long,all,precision_weighted,110,19,91,17.272727272727273
all_runs_long,all,recall_macro,110,19,91,17.272727272727273
all_runs_long,all,recall_weighted,110,19,91,17.272727272727273
all_runs_long,all,macro_f1,110,0,110,0.0
all_runs_long,all,weighted_f1,110,0,110,0.0
all_runs_long,all,balanced_accuracy,110,0,110,0.0
all_runs_long,all,old_class_accuracy,110,0,110,0.0
all_runs_long,all,new_class_accuracy,110,0,110,0.0
all_runs_long,all,plasticity_stability_gap,110,0,110,0.0
all_runs_long,all,memory_MB,110,0,110,0.0
all_runs_long,all,replay_memory_MB,110,0,110,0.0
all_runs_long,all,generated_replay_MB,110,0,110,0.0
all_runs_long,all,real_buffer_MB,110,0,110,0.0
all_runs_long,all,model_memory_MB,110,0,110,0.0
all_runs_long,all,gpu_peak_memory_MB,110,0,110,0.0
all_runs_long,all,mmd_real_generated,110,20,90,18.181818181818183
all_runs_long,all,wasserstein_real_generated,110,20,90,18.181818181818183
all_runs_long,all,feature_center_l2,110,20,90,18.181818181818183
all_runs_long,all,elapsed_minutes,110,0,110,0.0
all_runs_long,setting_type=ablation,mean_acc_seen,70,0,70,0.0
all_runs_long,setting_type=ablation,min_acc_seen,70,0,70,0.0
all_runs_long,setting_type=ablation,final_taskwise_average_accuracy,70,0,70,0.0
all_runs_long,setting_type=ablation,forgetting,70,0,70,0.0
all_runs_long,setting_type=ablation,backward_transfer,70,0,70,0.0
all_runs_long,setting_type=ablation,bwt,70,0,70,0.0
all_runs_long,setting_type=ablation,precision_macro,70,0,70,0.0
all_runs_long,setting_type=ablation,precision_weighted,70,0,70,0.0
all_runs_long,setting_type=ablation,recall_macro,70,0,70,0.0
all_runs_long,setting_type=ablation,recall_weighted,70,0,70,0.0
all_runs_long,setting_type=ablation,macro_f1,70,0,70,0.0
all_runs_long,setting_type=ablation,weighted_f1,70,0,70,0.0
all_runs_long,setting_type=ablation,balanced_accuracy,70,0,70,0.0
all_runs_long,setting_type=ablation,old_class_accuracy,70,0,70,0.0
all_runs_long,setting_type=ablation,new_class_accuracy,70,0,70,0.0
all_runs_long,setting_type=ablation,plasticity_stability_gap,70,0,70,0.0
all_runs_long,setting_type=ablation,memory_MB,70,0,70,0.0
all_runs_long,setting_type=ablation,replay_memory_MB,70,0,70,0.0
all_runs_long,setting_type=ablation,generated_replay_MB,70,0,70,0.0
all_runs_long,setting_type=ablation,real_buffer_MB,70,0,70,0.0
all_runs_long,setting_type=ablation,model_memory_MB,70,0,70,0.0
all_runs_long,setting_type=ablation,gpu_peak_memory_MB,70,0,70,0.0
all_runs_long,setting_type=ablation,mmd_real_generated,70,20,50,28.571428571428573
all_runs_long,setting_type=ablation,wasserstein_real_generated,70,20,50,28.571428571428573
all_runs_long,setting_type=ablation,feature_center_l2,70,20,50,28.571428571428573
all_runs_long,setting_type=ablation,elapsed_minutes,70,0,70,0.0
all_runs_long,setting_type=final_best_performance,mean_acc_seen,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,min_acc_seen,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,final_taskwise_average_accuracy,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,forgetting,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,backward_transfer,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,bwt,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,precision_macro,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,precision_weighted,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,recall_macro,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,recall_weighted,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,macro_f1,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,weighted_f1,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,balanced_accuracy,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,old_class_accuracy,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,new_class_accuracy,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,plasticity_stability_gap,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,memory_MB,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,replay_memory_MB,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,generated_replay_MB,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,real_buffer_MB,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,model_memory_MB,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,gpu_peak_memory_MB,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,mmd_real_generated,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,wasserstein_real_generated,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,feature_center_l2,10,0,10,0.0
all_runs_long,setting_type=final_best_performance,elapsed_minutes,10,0,10,0.0
all_runs_long,setting_type=final_memory_efficient,mean_acc_seen,11,0,11,0.0
