dataset,method,setting_type,k,result_validity,paper_use_category,validity_reason,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,seeds
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",mean_acc_seen,1,0.6237152645401749,,,,,0.6237152645401749,0.6237152645401749,0.6237152645401749,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",min_acc_seen,1,0.474036205749501,,,,,0.474036205749501,0.474036205749501,0.474036205749501,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",final_taskwise_average_accuracy,1,0.5383970432520587,,,,,0.5383970432520587,0.5383970432520587,0.5383970432520587,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",forgetting,1,0.3626120163904365,,,,,0.3626120163904365,0.3626120163904365,0.3626120163904365,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",macro_f1,1,0.4526595351794808,,,,,0.4526595351794808,0.4526595351794808,0.4526595351794808,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",weighted_f1,1,0.472914819167178,,,,,0.472914819167178,0.472914819167178,0.472914819167178,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",balanced_accuracy,1,0.6165830190625757,,,,,0.6165830190625757,0.6165830190625757,0.6165830190625757,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",old_class_accuracy,1,0.4686612314162393,,,,,0.4686612314162393,0.4686612314162393,0.4686612314162393,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",new_class_accuracy,1,0.5743801652892562,,,,,0.5743801652892562,0.5743801652892562,0.5743801652892562,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",plasticity_stability_gap,1,0.1057189338730168,,,,,0.1057189338730168,0.1057189338730168,0.1057189338730168,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",mmd_real_generated,1,0.0201663970947265,,,,,0.0201663970947265,0.0201663970947265,0.0201663970947265,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",wasserstein_real_generated,1,0.0897252932190895,,,,,0.0897252932190895,0.0897252932190895,0.0897252932190895,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",memory_MB,1,451.2638931274414,,,,,451.2638931274414,451.2638931274414,451.2638931274414,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",gpu_peak_memory_MB,1,2862.6552734375,,,,,2862.6552734375,2862.6552734375,2862.6552734375,42
az_class,ahr_malcl_v14_5_az_validation_k25,other,25,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories",elapsed_minutes,1,56.74260765314102,,,,,56.74260765314102,56.74260765314102,56.74260765314102,42
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.13780366910759403,0.012613509952208378,0.005640933137601611,0.12214192790895201,0.15346541030623606,0.1305399304994103,0.1264499432450714,0.1528801556453868,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,min_acc_seen,5,0.014248405073218302,0.007721180952554164,0.0034530170952975377,0.00466129266081515,0.023835517485621453,0.0122746592408031,0.008788823138065,0.027473975490842,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,final_taskwise_average_accuracy,5,0.08946671364087032,0.002230546982098466,0.000997530935795835,0.0866971237568966,0.09223630352484403,0.0893305589438186,0.0874259839777081,0.0930021750250031,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,forgetting,5,0.9629409859866392,0.010052446528503511,0.004495590755583125,0.950459225038328,0.9754227469349505,0.961925898380367,0.9497528387059084,0.9761287578631874,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,macro_f1,5,0.0063446267537367994,0.003956820950602983,0.0017695441240687215,0.0014315846320346812,0.011257668875438918,0.0060928235335185,0.003005238748623,0.0126659977530023,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,weighted_f1,5,0.007610594193399839,0.005671644149960688,0.002536436372700222,0.0005683178417706615,0.014652870545029017,0.0070058579449286,0.0006398941274972,0.0154530611625484,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,balanced_accuracy,5,0.051133244194753305,0.004089443295548942,0.0018288546397956394,0.046055529681974426,0.056210958707532184,0.0496358511336478,0.0486131934032983,0.058409056011841,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,old_class_accuracy,5,0.0002742569120154,0.0006132570985656132,0.00027425691201539995,-0.00048720234891641914,0.0010357161729472192,0.0,0.0,0.001371284560077,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,new_class_accuracy,5,0.978260834176558,0.014264383093211045,0.0063792260507037225,0.9605492632331314,0.9959724051199845,0.9826361483820047,0.9616858237547892,0.9936588459099556,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,plasticity_stability_gap,5,0.9779865772645424,0.013902919888493874,0.006217574791281219,0.9607238221690885,0.9952493323599964,0.9826361483820047,0.9616858237547892,0.9922875613498784,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mmd_real_generated,0,,,,,,,,,
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,wasserstein_real_generated,0,,,,,,,,,
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,memory_MB,5,358.1471328735352,0.0,0.0,358.1471328735352,358.1471328735352,358.1471328735352,358.1471328735352,358.1471328735352,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,gpu_peak_memory_MB,5,429.2080078125,0.0,0.0,429.2080078125,429.2080078125,429.2080078125,429.2080078125,429.2080078125,"42,43,44,45,46"
az_class,classifier_real_only,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,elapsed_minutes,5,1.7037020874023436,0.2377412889448402,0.10632113662781638,1.408507288032977,1.9988968867717103,1.6114087621370952,1.5440831025441488,2.124891670544942,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mean_acc_seen,5,0.6710760554931987,0.012864137188967992,0.005753017045283097,0.6551031194777029,0.6870489915086945,0.671500972635277,0.6519962510598061,0.6871885816843111,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,min_acc_seen,5,0.5744673115381607,0.013709674068550979,0.00613115263332922,0.5574445028201331,0.5914901202561882,0.5698728947091986,0.5633600616268076,0.5979282486101668,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,final_taskwise_average_accuracy,5,0.6342210366150113,0.03474446173032598,0.015538195654129769,0.591080089347497,0.6773619838825256,0.6355156290703745,0.5815481226479015,0.6751957587648817,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,forgetting,5,0.2099609595151744,0.02636220418622,0.011789536119423488,0.17722795966384847,0.24269395936650034,0.2142779120032515,0.1725918575389287,0.2443511744706646,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,macro_f1,5,0.554252600589556,0.007653155054549892,0.003422594988863934,0.5447499534856503,0.5637552476934619,0.556049796875627,0.5435196367607685,0.5638988706064245,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,weighted_f1,5,0.5692830971452374,0.014144300543133145,0.006325523501726581,0.5517206283810551,0.5868455659094197,0.5635172289957009,0.5570838700885863,0.5932388937850637,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,balanced_accuracy,5,0.7457115199249309,0.009341420771495077,0.004177610370298304,0.7341126140608927,0.7573104257889691,0.7436961370949642,0.7370466158983088,0.760511172158513,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,old_class_accuracy,5,0.5679209091157483,0.013643223745805403,0.0061014351455720385,0.550980609371143,0.5848612088603536,0.5711357693123189,0.5532487213487403,0.5847231487658439,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,new_class_accuracy,5,0.7519264080655375,0.1748902215347755,0.07821328479035111,0.5347715163479261,0.9690812997831488,0.7869685767097967,0.459366391184573,0.9118773946360154,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,plasticity_stability_gap,5,0.18400549894978907,0.17627410578989808,0.07883217664384026,-0.03486771202508904,0.4028787099246672,0.2337198553610564,-0.116425839604522,0.3407416253236964,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,mmd_real_generated,5,0.00336108207702634,0.0011415470282579638,0.000510515350939536,0.0019436642297819317,0.004778499924270749,0.0029618740081787,0.0021756887435913,0.0052082538604736,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,wasserstein_real_generated,5,0.05560546666383738,0.0018140125626761247,0.0008112510804364825,0.053353072572473084,0.057857860755201676,0.0556342937052249,0.0535839982330799,0.0582152418792247,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,memory_MB,5,544.3806533813477,0.0,0.0,544.3806533813477,544.3806533813477,544.3806533813477,544.3806533813477,544.3806533813477,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,gpu_peak_memory_MB,5,3041.49833984375,109.85874637157512,49.130324961950066,2905.0906895863664,3177.9059901011333,3058.15625,2927.31591796875,3159.89794921875,"42,43,44,45,46"
az_class,hybrid_diversity_buffer,ablation,100,valid_ablation,ablation_table,controlled ablation result under final ablation folders,elapsed_minutes,5,19.9774661509196,0.21187305482896443,0.09475251063962091,19.71439100654902,20.24054129529018,19.944554444154104,19.734072510401408,20.31766575574875,"42,43,44,45,46"
az_class,hybrid_random_buffer,ablation,100,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result,mean_acc_seen,5,0.7336122714813581,0.014450825929172661,0.006462605821729326,0.7156692011807949,0.7515553417819213,0.7359395482979489,0.7144661597626837,0.7511489556893779,"42,43,44,45,46"
az_class,hybrid_random_buffer,ablation,100,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result,min_acc_seen,5,0.6737907262919512,0.004102463161872962,0.001834677301027333,0.6686968454798964,0.6788846071040061,0.6726623789667114,0.6687208935887111,0.6783481720022732,"42,43,44,45,46"
az_class,hybrid_random_buffer,ablation,100,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result,final_taskwise_average_accuracy,5,0.7129473423550008,0.011811407560742598,0.005282222043155085,0.698281542818715,0.7276131418912866,0.7125498645382027,0.7010945067679869,0.7254718933649008,"42,43,44,45,46"
