dataset,method,setting_type,k,result_validity,paper_use_category,validity_reason,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,seeds
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,mean_acc_seen,5,0.7576337456084699,0.01398835523213295,0.006255782638492825,0.7402649085226451,0.7750025826942946,0.7585797449297865,0.7389552825624882,0.7741135160503443,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,min_acc_seen,5,0.7079845606899555,0.007769951465581505,0.0034748279317828724,0.6983368916873524,0.7176322296925587,0.7109689730723019,0.6942820126755138,0.7132952834483001,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,final_taskwise_average_accuracy,5,0.7431381495182756,0.012372829759675897,0.005533297683333538,0.7277752522497819,0.7585010467867693,0.747509802495242,0.7283873519348618,0.7588953437104986,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,forgetting,5,0.08434590504668305,0.009431571689366102,0.004217927086417027,0.0726350620335193,0.09605674805984679,0.081882873516407,0.0750347732845376,0.0987489132704327,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,macro_f1,5,0.6748001724012352,0.007364836461941052,0.003293654994413847,0.6656555201137847,0.6839448246886858,0.6781164512983427,0.6638206944923604,0.6818523765079041,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,weighted_f1,5,0.713225893202971,0.007160686185012336,0.0032023562150462434,0.7043347269646062,0.7221170594413359,0.7143605075477201,0.7015385505460221,0.7202082334337633,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,balanced_accuracy,5,0.8347580429980068,0.005965779669533179,0.0026679777759724835,0.8273505491611315,0.8421655368348822,0.8337593429685971,0.8285756341837501,0.8444721903431223,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,old_class_accuracy,5,0.7093995546917099,0.0016328645507106441,0.0007302392266877305,0.7073720855651493,0.7114270238182705,0.708783709005054,0.7082499444073826,0.7122411477842957,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,new_class_accuracy,5,0.7310848564226998,0.1835516413307962,0.08208678947946406,0.5031753915710401,0.9589943212743596,0.7996195307545974,0.4235537190082644,0.9003831417624522,"42,43,44,45,46"
az_class,hybrid_random_buffer,final_best_performance,200,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result,plasticity_stability_gap,5,0.021685301730990057,0.18285312305396406,0.08177440260935952,-0.20535683812423983,0.24872744158621996,0.0913695863472147,-0.2852299899967896,0.1881419939781564,"42,43,44,45,46"
