dataset,method,setting_type,k,result_validity,paper_use_category,validity_reason,metric,n,mean,std,se,ci95_low,ci95_high,median,min,max,seeds
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mean_acc_seen,1,0.4071859046804425,,,,,0.4071859046804425,0.4071859046804425,0.4071859046804425,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,min_acc_seen,1,0.1877866872089358,,,,,0.1877866872089358,0.1877866872089358,0.1877866872089358,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,final_taskwise_average_accuracy,1,0.2667056505619286,,,,,0.2667056505619286,0.2667056505619286,0.2667056505619286,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,forgetting,1,0.7399122500203741,,,,,0.7399122500203741,0.7399122500203741,0.7399122500203741,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,macro_f1,1,0.1935020593510419,,,,,0.1935020593510419,0.1935020593510419,0.1935020593510419,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,weighted_f1,1,0.185414463772796,,,,,0.185414463772796,0.185414463772796,0.185414463772796,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,balanced_accuracy,1,0.2314630631776107,,,,,0.2314630631776107,0.2314630631776107,0.2314630631776107,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,old_class_accuracy,1,0.1532445493783893,,,,,0.1532445493783893,0.1532445493783893,0.1532445493783893,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,new_class_accuracy,1,0.8326446280991735,,,,,0.8326446280991735,0.8326446280991735,0.8326446280991735,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,plasticity_stability_gap,1,0.6794000787207841,,,,,0.6794000787207841,0.6794000787207841,0.6794000787207841,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mmd_real_generated,1,0.1073125600814819,,,,,0.1073125600814819,0.1073125600814819,0.1073125600814819,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,wasserstein_real_generated,1,0.2331268191337585,,,,,0.2331268191337585,0.2331268191337585,0.2331268191337585,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,memory_MB,1,427.9847030639648,,,,,427.9847030639648,427.9847030639648,427.9847030639648,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,gpu_peak_memory_MB,1,2862.6552734375,,,,,2862.6552734375,2862.6552734375,2862.6552734375,42
az_class,hybrid_random_buffer,memory_budget,0,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,elapsed_minutes,1,60.853690803051,,,,,60.853690803051,60.853690803051,60.853690803051,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mean_acc_seen,1,0.554406527078801,,,,,0.554406527078801,0.554406527078801,0.554406527078801,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,min_acc_seen,1,0.3656290486361567,,,,,0.3656290486361567,0.3656290486361567,0.3656290486361567,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,final_taskwise_average_accuracy,1,0.4299349200528748,,,,,0.4299349200528748,0.4299349200528748,0.4299349200528748,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,forgetting,1,0.5172052590059896,,,,,0.5172052590059896,0.5172052590059896,0.5172052590059896,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,macro_f1,1,0.3739236121097786,,,,,0.3739236121097786,0.3739236121097786,0.3739236121097786,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,weighted_f1,1,0.367831796893344,,,,,0.367831796893344,0.367831796893344,0.367831796893344,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,balanced_accuracy,1,0.4998223410422621,,,,,0.4998223410422621,0.4998223410422621,0.4998223410422621,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,old_class_accuracy,1,0.3488397830818607,,,,,0.3488397830818607,0.3488397830818607,0.3488397830818607,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,new_class_accuracy,1,0.6790633608815427,,,,,0.6790633608815427,0.6790633608815427,0.6790633608815427,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,plasticity_stability_gap,1,0.330223577799682,,,,,0.330223577799682,0.330223577799682,0.330223577799682,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mmd_real_generated,1,0.0440545082092285,,,,,0.0440545082092285,0.0440545082092285,0.0440545082092285,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,wasserstein_real_generated,1,0.1199094727635383,,,,,0.1199094727635383,0.1199094727635383,0.1199094727635383,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,memory_MB,1,437.2963790893554,,,,,437.2963790893554,437.2963790893554,437.2963790893554,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,gpu_peak_memory_MB,1,2862.6552734375,,,,,2862.6552734375,2862.6552734375,2862.6552734375,42
az_class,hybrid_random_buffer,memory_budget,10,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,elapsed_minutes,1,52.93184698025386,,,,,52.93184698025386,52.93184698025386,52.93184698025386,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,mean_acc_seen,1,0.6200849545121578,,,,,0.6200849545121578,0.6200849545121578,0.6200849545121578,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,min_acc_seen,1,0.467838509751742,,,,,0.467838509751742,0.467838509751742,0.467838509751742,42
az_class,hybrid_random_buffer,memory_budget,25,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis,final_taskwise_average_accuracy,1,0.5189256437859867,,,,,0.5189256437859867,0.5189256437859867,0.5189256437859867,42
