dataset,seed,historical_runner,historical_runner_sha256,raw_output,raw_output_sha256,matrix_field,postprocessor,postprocessor_sha256,normalized_matrix,normalized_matrix_sha256,chain_complete,notes
EMBER,42,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_42/per_task_metrics.csv,16a09ee571578f9e505a3e25e928a2b1d6affefee45ab3cff8efe711430eff38,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_42.json,5115ead48cf1c47926cd7615b08c4a25e113241daadeb7bfbfcbe1ce3337c406,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,43,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_43/per_task_metrics.csv,d5b353eeef2db05a29949cd64ce33f14dc60353dcb9f80ac4876e4f5dd77e2cd,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_43.json,0ca330c05e9498a10800c875f8751c3c6b8122702c49962076c098578a35ffc7,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,44,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_44/per_task_metrics.csv,e56f8f0767277d1a86d10c4c4b1e8e54da9ce333c91c7d9fb107733b13f6c021,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_44.json,a55afcd852bfb68cd162748edc2157f3e4e7403f6ba68a85a8275d083e954631,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,45,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_45/per_task_metrics.csv,adca7c4f2b548139da172a86cd8a118276722a9d73416bb6473b2fcffbf23048,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_45.json,dcdb962967553c41e5a70d199bafb6ca4969751fcdd8629ad3d5f54cde307320,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,46,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_46/per_task_metrics.csv,5b1f52e87bdf3035b81a2d2a25e48e8ee20a9638c61eb52648edae9f827e91b5,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_46.json,c8a049077601414ca060c4c251ef7acaddedab9bbd0ee0009f6eb02ea6e4acdf,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,47,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_47/per_task_metrics.csv,11128209c245ebbe376a5305c4438065d9a45fe25840fc0325efc06ef8e1fd7e,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_47.json,c7bafedc2727ff218ba5c65d7402eac9364728cf0ca4665988dad0ac6dd8c978,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,48,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_48/per_task_metrics.csv,38e6845e2b3f7779baf5932c9c78f83a51d7b843090f70aee8c35b17e77921de,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_48.json,305948e7f536dedba7301d009d4260c2c60cf0709e2901cf78e559df50e2c84b,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,49,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_49/per_task_metrics.csv,125314c10ff2c925c6a70184163f3cef8b911bccefc17850064fef269d120e67,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_49.json,61c74f46409ee9c1975caacfe1cf787306a9173521498b19e208c0cceddf25d6,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,50,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_50/per_task_metrics.csv,0be4f96103397ead21cee258951d063b65cabf7d1ddb040f88e6e1bd880437da,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_50.json,311fafed42090a33882987818bd726dc555e395fe5e3930e29a22f05b3e93308,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
EMBER,51,NOT_RECOVERED,,historical_outputs/adapted_malcl/ember/seed_51/per_task_metrics.csv,1d88b414f14c1d2ededa3e90bf656158572a59afe4164040530e7dd6a8919b70,taskwise_accuracies,NOT_RECOVERED,,task_matrices/adapted_malcl__ember__seed_51.json,afbe9b26124658ac82b540fa2cb1df493afd79bdc1b38e7d7bc99e18cc983a0e,false,PATH D: exact preserved CSV is the only matrix source; generating code was not recovered.
