dataset,seed,er_source,derpp_source,malcl_source,anchored_hr_source,expected_order_source,all_equal,mismatch_position,notes
EMBER,42,historical_outputs/er/ember/seed_42/full-result.json,historical_outputs/derpp/ember/seed_42/full-result.json,historical_outputs/adapted_malcl/ember/seed_42/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,43,historical_outputs/er/ember/seed_43/full-result.json,historical_outputs/derpp/ember/seed_43/full-result.json,historical_outputs/adapted_malcl/ember/seed_43/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,44,historical_outputs/er/ember/seed_44/full-result.json,historical_outputs/derpp/ember/seed_44/full-result.json,historical_outputs/adapted_malcl/ember/seed_44/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,45,historical_outputs/er/ember/seed_45/full-result.json,historical_outputs/derpp/ember/seed_45/full-result.json,historical_outputs/adapted_malcl/ember/seed_45/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,46,historical_outputs/er/ember/seed_46/full-result.json,historical_outputs/derpp/ember/seed_46/full-result.json,historical_outputs/adapted_malcl/ember/seed_46/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,47,historical_outputs/er/ember/seed_47/full-result.json,historical_outputs/derpp/ember/seed_47/full-result.json,historical_outputs/adapted_malcl/ember/seed_47/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,48,historical_outputs/er/ember/seed_48/full-result.json,historical_outputs/derpp/ember/seed_48/full-result.json,historical_outputs/adapted_malcl/ember/seed_48/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,49,historical_outputs/er/ember/seed_49/full-result.json,historical_outputs/derpp/ember/seed_49/full-result.json,historical_outputs/adapted_malcl/ember/seed_49/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,50,historical_outputs/er/ember/seed_50/full-result.json,historical_outputs/derpp/ember/seed_50/full-result.json,historical_outputs/adapted_malcl/ember/seed_50/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
EMBER,51,historical_outputs/er/ember/seed_51/full-result.json,historical_outputs/derpp/ember/seed_51/full-result.json,historical_outputs/adapted_malcl/ember/seed_51/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),numpy.random.RandomState(seed).permutation(100),true,,Anchored-HR order reconstructed from verified runner rule; not serialized in every original output.
