dataset,method,seed,mean_task_acquisition_accuracy_pct,mean_final_old_task_accuracy_pct,final_new_task_accuracy_pct,backward_transfer_pct_points,average_incremental_accuracy_pct,area_under_seen_accuracy_curve_pct
EMBER,Anchored hybrid replay,42,86.87138181818182,77.48585,85.07820000000001,-9.56485,84.68627330547363,84.68627330547363
EMBER,Anchored hybrid replay,43,88.2769090909091,81.65858,74.5828,-7.9877400000000005,83.12393149401964,83.12393149401964
EMBER,Anchored hybrid replay,44,87.24605454545454,78.12629,82.6667,-9.5777,84.08964229374922,84.08964229374922
EMBER,Anchored hybrid replay,45,88.23244545454546,82.00618,74.7597,-7.573540000000002,83.40412843585155,83.40412843585155
EMBER,Anchored hybrid replay,46,86.16589090909092,78.36276,93.5374,-7.06598,83.1959288342092,83.1959288342092
EMBER,Anchored hybrid replay,47,85.23398181818182,74.45165,92.99,-10.00673,81.04229488988979,81.04229488988979
EMBER,Anchored hybrid replay,48,87.80870909090909,74.40008999999999,96.7307,-12.51642,81.18432190577781,81.18432190577781
EMBER,Anchored hybrid replay,49,87.92557272727272,80.23460999999999,94.3262,-7.0509,81.39001165993619,81.39001165993619
EMBER,Anchored hybrid replay,50,86.01910000000001,75.15327,81.7355,-11.294189999999999,84.12669227070869,84.12669227070869
EMBER,Anchored hybrid replay,51,87.0924090909091,77.32484,94.3467,-9.042140000000003,84.22753504531305,84.22753504531305
AZ-Class,Anchored hybrid replay,42,81.81591818181818,75.88708,42.355399999999996,-9.87489,75.85797449297866,75.85797449297866
AZ-Class,Anchored hybrid replay,43,81.8131090909091,73.22224,90.0383,-7.768350000000004,74.93004890812507,74.93004890812507
AZ-Class,Anchored hybrid replay,44,81.45761818181818,74.27967,79.962,-7.327509999999999,76.72196954184788,76.72196954184788
AZ-Class,Anchored hybrid replay,45,80.45788181818182,72.49448,81.2847,-7.880720000000001,77.41135160503441,77.41135160503441
AZ-Class,Anchored hybrid replay,46,83.17893636363637,76.28828,71.9021,-8.018340000000002,73.89552825624882,73.89552825624882
AZ-Class,Anchored hybrid replay,47,81.18735454545455,70.3516,82.8874,-10.665750000000001,76.68362187033745,76.68362187033745
AZ-Class,Anchored hybrid replay,48,82.68544545454546,74.1307,99.4063,-6.882659999999998,74.82939468409073,74.82939468409073
AZ-Class,Anchored hybrid replay,49,79.95602727272727,68.78514,89.1353,-10.252960000000002,76.04805245327691,76.04805245327691
AZ-Class,Anchored hybrid replay,50,78.08466363636364,69.92788,72.16460000000001,-8.748789999999998,79.20644993027892,79.20644993027892
AZ-Class,Anchored hybrid replay,51,84.93312727272728,73.29911,90.3475,-11.09258,73.49275707915858,73.49275707915858
EMBER,ER,42,94.97007767890828,76.44696428313999,96.75090252707581,-18.34503091095153,81.95644811155785,81.95644811155785
EMBER,ER,43,96.3961586450673,80.20931662751723,93.96662387676508,-16.429795494380294,85.08366579685456,85.08366579685456
EMBER,ER,44,96.41349609739177,79.24501728458674,97.77777777777777,-17.032050644766436,83.80838694217208,83.80838694217208
EMBER,ER,45,95.70492208371591,83.23472261930004,97.91057250313415,-12.24963442247404,86.10418325099558,86.10418325099558
EMBER,ER,46,95.13110325716106,78.60804718630774,96.48526077097506,-16.3876403194719,84.49109445587813,84.49109445587813
EMBER,ER,47,95.57694202181587,77.82254808203909,98.89458074952817,-17.42263006700555,77.07499688168808,77.07499688168808
EMBER,ER,48,96.03957358954293,76.71523686046744,98.98806434872859,-19.02948765315692,81.81238260711899,81.81238260711899
EMBER,ER,49,95.53486948915838,81.86136754579998,98.42395587076437,-13.3845933051978,83.91912934666476,83.91912934666476
EMBER,ER,50,95.50948550107617,77.55107812050221,92.89256198347108,-18.22009973233445,82.2781975383121,82.2781975383121
EMBER,ER,51,96.15639332827979,78.96985315630573,97.11055276381909,-17.091124228420135,83.47248618691663,83.47248618691663
AZ-Class,ER,42,96.41249377685148,71.22537726372899,90.77134986225896,-25.751230904581757,77.4087335053165,77.4087335053165
AZ-Class,ER,43,96.24547091719465,69.71335310359285,95.78544061302682,-26.57812084401859,77.41498547299216,77.41498547299216
AZ-Class,ER,44,96.08189320844635,73.13281901575763,98.858592263792,-22.671404287154147,81.93643476506364,81.93643476506364
AZ-Class,ER,45,96.78938434916442,64.45821579935134,98.05914972273567,-32.20419201245595,81.1106551082853,81.1106551082853
AZ-Class,ER,46,96.7087190922586,76.89435245154013,97.94790844514601,-19.690447705429754,80.03297200083307,80.03297200083307
AZ-Class,ER,47,97.00194364625536,70.72744477434675,98.75544492843808,-26.099148743690332,81.17690628288034,81.17690628288034
AZ-Class,ER,48,96.59872908336892,77.8208934221072,99.66072943172179,-18.471635626426444,78.01922819854691,78.01922819854691
AZ-Class,ER,49,97.29644502813409,72.84447807309003,97.00665188470067,-24.4809462693874,76.68723542104175,76.68723542104175
AZ-Class,ER,50,96.70522354534926,65.36742806001158,97.79190364670458,-31.229127475202134,76.71905046485409,76.71905046485409
AZ-Class,ER,51,97.571119418015,76.97296036383527,99.07335907335907,-20.447935088645323,81.031796669083,81.031796669083
EMBER,DER++,42,94.49782103884488,78.49968564886095,96.26955475330927,-15.820962018537488,83.23556187173635,83.23556187173635
EMBER,DER++,43,95.96895163963501,81.52240395870727,93.45314505776636,-14.698128339114614,86.55265756048148,86.55265756048148
EMBER,DER++,44,96.15413350465658,80.08780823824065,97.37037037037038,-15.944701579844544,84.76444493542968,84.76444493542968
EMBER,DER++,45,95.45106091958732,84.08357171268587,97.7852068533222,-11.134074613527964,87.02926325630405,87.02926325630405
EMBER,DER++,46,94.8370347407438,79.95666511219315,96.5986394557823,-14.704209157046803,85.05942099739516,85.05942099739516
EMBER,DER++,47,95.3363467964322,78.85605201172628,98.97546508492854,-16.116382955856288,78.518504520721,78.518504520721
EMBER,DER++,48,95.44511258557303,77.49820952818538,98.7026466009341,-17.62114965585155,83.13490243215651,83.13490243215651
EMBER,DER++,49,95.26640957903857,82.61299667614055,98.42395587076437,-12.337658273725438,84.59326260318427,84.59326260318427
EMBER,DER++,50,95.04086910527285,78.67664160804696,93.63636363636364,-16.50467804411679,83.16865382309862,83.16865382309862
EMBER,DER++,51,95.86540429428449,77.63943699349436,96.60804020100502,-18.15170371011806,84.36770191713845,84.36770191713845
AZ-Class,DER++,42,96.4330748411359,71.71288455525765,90.97796143250689,-25.265701626741166,76.76390308149612,76.76390308149612
AZ-Class,DER++,43,95.95531241524785,72.06395789925993,95.40229885057471,-23.946655872455224,78.83928848275816,78.83928848275816
AZ-Class,DER++,44,95.69171111539204,73.87418468101794,99.11223842739378,-21.475473703173936,82.89611772410579,82.89611772410579
AZ-Class,DER++,45,96.73610676672929,57.436402992477106,98.2902033271719,-39.144294118207924,80.49469737868439,80.49469737868439
AZ-Class,DER++,46,96.5268372077957,78.55868220606041,97.39542225730071,-17.881296496784778,80.04181300446199,80.04181300446199
AZ-Class,DER++,47,96.84464812389231,72.0888911959046,98.38207840696951,-24.602013899679996,82.07899016404714,82.07899016404714
AZ-Class,DER++,48,96.30025707679316,79.74025759285983,99.57591178965225,-16.23243401264742,80.0832556913109,80.0832556913109
AZ-Class,DER++,49,97.16441364043227,75.00336702314172,96.45232815964523,-22.232255165369256,75.1453348196241,75.1453348196241
AZ-Class,DER++,50,96.78828810500036,54.583763041907076,98.39411174305788,-42.04394269928753,76.53626959201868,76.53626959201868
AZ-Class,DER++,51,97.4885353431826,78.14871874788398,98.996138996139,-19.189056230002983,81.5533683736529,81.5533683736529
