dataset,method,metric,metric_scale,n,mean,sample_sd,ci95_low,ci95_high
EMBER,AHR-MalCL-HR (hybrid_random_buffer),final_taskwise_accuracy,percentage_points,10,78.75268135434466,2.162824788479821,77.20548970550108,80.29987300318824
EMBER,AHR-MalCL-HR (hybrid_random_buffer),mean_seen_accuracy,percentage_points,10,83.04707448878534,1.3631462953105058,82.07193837258664,84.02221060498404
EMBER,AHR-MalCL-HR (hybrid_random_buffer),forgetting,percentage_points,10,9.22352,1.8098752460321679,7.928813243805534,10.518226756194467
EMBER,AHR-MalCL-HR (hybrid_random_buffer),macro_f1,percentage_points,10,72.27560247867851,0.688473689501588,71.78309807031444,72.76810688704258
EMBER,AHR-MalCL-HR (hybrid_random_buffer),weighted_f1,percentage_points,10,80.70267318355016,0.49466024886156434,80.34881455841787,81.05653180868245
EMBER,AHR-MalCL-HR (hybrid_random_buffer),balanced_accuracy,percentage_points,10,79.54268645390943,0.43488124082132806,79.23159115501079,79.85378175280806
EMBER,ER (standard),final_taskwise_accuracy,percentage_points,10,80.68947609847001,2.015876470147142,79.24740494396649,82.13154725297353
EMBER,ER (standard),mean_seen_accuracy,percentage_points,10,83.63052218954746,0.6754307882607894,83.14734811065989,84.11369626843504
EMBER,ER (standard),forgetting,percentage_points,10,16.559208677815906,2.160216168024443,15.013883123630135,18.104534232001676
EMBER,ER (standard),macro_f1,percentage_points,10,75.7400013774763,1.0847548368913087,74.96401451362102,76.51598824133158
EMBER,ER (standard),weighted_f1,percentage_points,10,82.96532779748668,2.1511976218688784,81.4264537225751,84.50420187239826
EMBER,ER (standard),balanced_accuracy,percentage_points,10,80.9835246975867,0.9400055915107394,80.31108520604846,81.65596418912494
EMBER,DER++ (standard),final_taskwise_accuracy,percentage_points,10,81.47416457061236,2.0000112805634718,80.04344268904205,82.90488645218267
EMBER,DER++ (standard),mean_seen_accuracy,percentage_points,10,84.16017383343258,0.7102666909022574,83.65207965101472,84.66826801585044
EMBER,DER++ (standard),forgetting,percentage_points,10,15.303364834773953,2.1901858744062,13.73660024415808,16.870129425389827
EMBER,DER++ (standard),macro_f1,percentage_points,10,76.27148929925197,1.105300988791471,75.48080460374379,77.06217399476014
EMBER,DER++ (standard),weighted_f1,percentage_points,10,83.41072318072892,2.139175218689299,81.88044941495822,84.94099694649962
EMBER,DER++ (standard),balanced_accuracy,percentage_points,10,81.56932606550436,0.853258576607282,80.95894165014964,82.17971048085907
EMBER,protocol-matched adapted MalCL baseline,final_taskwise_accuracy,percentage_points,10,36.13460856346596,7.39496989962954,30.844565776320778,41.42465135061114
EMBER,protocol-matched adapted MalCL baseline,mean_seen_accuracy,percentage_points,10,61.016576527309326,4.247857490433009,57.97784233594886,64.0553107186698
EMBER,protocol-matched adapted MalCL baseline,forgetting,percentage_points,10,19.062367343973712,7.494187676145405,13.70134843520285,24.423386252744574
EMBER,protocol-matched adapted MalCL baseline,macro_f1,percentage_points,10,39.87854344863072,3.4647560982084116,37.400006246273364,42.35708065098808
EMBER,protocol-matched adapted MalCL baseline,weighted_f1,percentage_points,10,48.869516225197856,8.520456569389516,42.774348776261945,54.96468367413377
EMBER,protocol-matched adapted MalCL baseline,balanced_accuracy,percentage_points,10,47.25708654627268,4.072764596908515,44.34360626548135,50.170566827064015
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),final_taskwise_accuracy,percentage_points,10,73.51041115833915,2.196481651142391,71.9391428403566,75.08167947632171
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),mean_seen_accuracy,percentage_points,10,75.90771200345355,1.7136507011756066,74.68184013994612,77.13358386696099
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),forgetting,percentage_points,10,9.159115000000002,1.4925473137949998,8.091410971588784,10.226819028411219
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),macro_f1,percentage_points,10,67.54453048446652,0.5290260974846821,67.16608801219215,67.92297295674089
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),weighted_f1,percentage_points,10,71.31539767812194,0.5959287032384074,70.88909596479421,71.74169939144967
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),balanced_accuracy,percentage_points,10,83.55126904212258,0.4849682607918822,83.20434364758853,83.89819443665664
AZ-Class,ER (standard),final_taskwise_accuracy,percentage_points,10,74.22985230132272,4.268356257117265,71.17645417565079,77.28325042699466
AZ-Class,ER (standard),mean_seen_accuracy,percentage_points,10,76.05447385370036,1.7690944222636804,74.78893994141986,77.32000776598086
AZ-Class,ER (standard),forgetting,percentage_points,10,24.76626504954534,4.612366780336259,21.46677662036212,28.06575347872856
AZ-Class,ER (standard),macro_f1,percentage_points,10,70.90256367521992,1.6973772044248645,69.68833316999742,72.11679418044243
AZ-Class,ER (standard),weighted_f1,percentage_points,10,72.51032811424878,2.396001220021203,70.79633209479248,74.22432413370508
AZ-Class,ER (standard),balanced_accuracy,percentage_points,10,82.98987212813418,3.044465093324917,80.81199299863758,85.16775125763078
AZ-Class,DER++ (standard),final_taskwise_accuracy,percentage_points,10,73.68263447952832,7.81048874770956,68.09534741484812,79.26992154420851
AZ-Class,DER++ (standard),mean_seen_accuracy,percentage_points,10,75.64045055220701,2.5680214694974777,73.80339865932106,77.47750244509297
AZ-Class,DER++ (standard),forgetting,percentage_points,10,25.271900617729138,8.615713352039776,19.10859057148382,31.435210663974456
AZ-Class,DER++ (standard),macro_f1,percentage_points,10,70.89348179312647,2.248631315768981,69.28490785240922,72.50205573384372
AZ-Class,DER++ (standard),weighted_f1,percentage_points,10,71.94443986038843,4.865149409893774,68.46412163144181,75.42475808933504
AZ-Class,DER++ (standard),balanced_accuracy,percentage_points,10,82.1930691839118,4.885992693789453,78.69784056788731,85.6882977999363
AZ-Class,protocol-matched adapted MalCL baseline,final_taskwise_accuracy,percentage_points,10,29.35118241458963,4.325226403756393,26.25710183677583,32.44526299240343
AZ-Class,protocol-matched adapted MalCL baseline,mean_seen_accuracy,percentage_points,10,44.19966572503553,3.81168185391003,41.47295278747792,46.92637866259314
AZ-Class,protocol-matched adapted MalCL baseline,forgetting,percentage_points,10,15.712215430197384,5.516346197872007,11.766059081824626,19.658371778570142
AZ-Class,protocol-matched adapted MalCL baseline,macro_f1,percentage_points,10,35.222713043506666,2.0308954345659913,33.76989796908559,36.67552811792774
AZ-Class,protocol-matched adapted MalCL baseline,weighted_f1,percentage_points,10,35.571085783709336,2.8897853220343297,33.50385789681942,37.63831367059925
AZ-Class,protocol-matched adapted MalCL baseline,balanced_accuracy,percentage_points,10,47.07300807550634,2.6363242160572473,45.18709534117209,48.958920809840585
