method,dataset,seed,source_file,metric_source,final_taskwise_accuracy,mean_seen_accuracy,forgetting,macro_f1,weighted_f1,balanced_accuracy
AHR-MalCL-HR (hybrid_random_buffer),EMBER,42,task_matrices/anchored_hr__ember__seed_42.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,78.17605641854574,84.6862872211187,9.56485,72.77835130791821,81.26552491363537,79.7917596643079
ER (standard),EMBER,42,task_matrices/er__ember__seed_42.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,78.29277685077052,83.08606346211415,18.345030910951525,73.26513817946592,77.15335569324256,79.78665544061693
DER++ (standard),EMBER,42,task_matrices/derpp__ember__seed_42.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,80.11512829471988,83.89678060092618,15.820962018537488,73.92502312228089,78.21133200361713,80.6315669189594
protocol-matched adapted MalCL baseline,EMBER,42,task_matrices/adapted_malcl__ember__seed_42.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,32.3650961999563,67.43726238676474,19.54011915824399,41.55059344207792,56.73245152397352,47.39919230338183
AHR-MalCL-HR (hybrid_random_buffer),EMBER,43,task_matrices/anchored_hr__ember__seed_43.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,81.01532937772629,83.12392196482901,8.128589999999999,73.38408527303312,81.63694943805784,79.73360841275093
ER (standard),EMBER,43,task_matrices/er__ember__seed_43.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,81.4599809229034,84.23901972728264,16.429795494380294,75.65130935566879,82.97984122054429,79.89053943178645
DER++ (standard),EMBER,43,task_matrices/derpp__ember__seed_43.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,82.60701678589446,84.9013833758136,14.698128339114614,75.44369247652966,83.34866519203169,80.6961637650986
protocol-matched adapted MalCL baseline,EMBER,43,task_matrices/adapted_malcl__ember__seed_43.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,42.898124312665985,63.096685392279724,10.687087007327918,43.66143629957917,59.03988138808709,53.85978558163036
AHR-MalCL-HR (hybrid_random_buffer),EMBER,44,task_matrices/anchored_hr__ember__seed_44.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,78.53903978134802,84.08963710233952,9.589830000000001,72.71131847562086,80.04237203577486,79.0698538881888
ER (standard),EMBER,44,task_matrices/er__ember__seed_44.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,80.92981369305865,83.96986871496452,17.032050644766436,76.3821528094287,82.0637034717749,80.37676538024728
DER++ (standard),EMBER,44,task_matrices/derpp__ember__seed_44.json,V15.4 common task-matrix derivation for AIA/forgetting; unchanged source for other metrics,81.65895025025245,84.42628767044678,15.944701579844544,76.33145877116213,82.5584507181532,80.7650459078411
