method,dataset,seed,final_taskwise_accuracy,mean_seen_accuracy,forgetting,macro_f1,weighted_f1,balanced_accuracy,final_task_macro_accuracy,final_sample_weighted_seen_accuracy,sw_aia,tm_aia,raw_result_source,raw_result_sha256,task_matrix_source,task_matrix_sha256,harmonized_metric_source,harmonized_metric_definition_version,classification_report_source,resource_measurement_source,diagnostic_source
AHR-MalCL-HR (hybrid_random_buffer),EMBER,42,78.17605641854574,84.6862872211187,9.56485,72.77835130791821,81.26552491363537,79.7917596643079,78.17606363636365,79.82733584144316,84.68628722111872,82.38942873966943,historical_outputs/anchored_hr/ember/seed_42/full-result.json,16666bb9654878a6160edcfd1891dd7de83dec7ad917b8810882d44d0740ce03,task_matrices/anchored_hr__ember__seed_42.json,a5427ee24fe51ebbabcf165d602bcd2b876e8133ec79991e4fba1441b5b58d50,task_matrices/anchored_hr__ember__seed_42.json,V15.5,historical_outputs/anchored_hr/ember/seed_42/full-result.json,historical_outputs/anchored_hr/ember/seed_42/full-result.json,historical_outputs/anchored_hr/ember/seed_42/full-result.json
ER (standard),EMBER,42,78.29277685077052,83.08606346211415,18.345030910951525,73.26513817946592,77.15335569324256,79.78665544061693,78.29277685077052,75.69131260384523,83.08606346211417,81.95644811155785,historical_outputs/er/ember/seed_42/full-result.json,164bf0a636ff7cfe95268474f3ed11171010445726a412f18b9bf55ed12a0356,task_matrices/er__ember__seed_42.json,0e1c58815caaa71ae5cf3d8e1582e14a0291c73f56a2e0d4b91711f60b0e496d,task_matrices/er__ember__seed_42.json,V15.5,historical_outputs/er/ember/seed_42/full-result.json,historical_outputs/er/ember/seed_42/full-result.json,not_reported
DER++ (standard),EMBER,42,80.11512829471988,83.89678060092618,15.820962018537488,73.92502312228089,78.21133200361713,80.6315669189594,80.11512829471988,76.82470923332542,83.89678060092616,83.23556187173634,historical_outputs/derpp/ember/seed_42/full-result.json,81ef76731fed5818fb6d32a56867c450370380b9a5f6923286f65cbe7acc48ca,task_matrices/derpp__ember__seed_42.json,05776f75e7317ebaa26ebb5632fb9547d22ab68d47589955968e81ecb4814761,task_matrices/derpp__ember__seed_42.json,V15.5,historical_outputs/derpp/ember/seed_42/full-result.json,historical_outputs/derpp/ember/seed_42/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,42,32.3650961999563,67.43726238676474,19.54011915824399,41.55059344207792,56.73245152397352,47.39919230338183,32.3650961999563,56.49477806788512,67.43726238676474,49.42085849507669,historical_outputs/adapted_malcl/ember/seed_42/full-result.json,7970b16dcdebf64408623add8197f2bbd2b428d7a1bf0dea74dc330712b05144,task_matrices/adapted_malcl__ember__seed_42.json,5115ead48cf1c47926cd7615b08c4a25e113241daadeb7bfbfcbe1ce3337c406,task_matrices/adapted_malcl__ember__seed_42.json,V15.5,historical_outputs/adapted_malcl/ember/seed_42/full-result.json,historical_outputs/adapted_malcl/ember/seed_42/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,43,81.01532937772629,83.12392196482901,8.128589999999999,73.38408527303312,81.63694943805784,79.73360841275093,81.01532727272726,79.51578998635178,83.12392196482901,84.1622076272465,historical_outputs/anchored_hr/ember/seed_43/full-result.json,423652ebd5a1119e5fbab37e88b1edfc34f375907896579dd8995e540db13abe,task_matrices/anchored_hr__ember__seed_43.json,e924ae8f007cec4141cddb733419701146a1e451ea2bbcf26d535fc4d47d04de,task_matrices/anchored_hr__ember__seed_43.json,V15.5,historical_outputs/anchored_hr/ember/seed_43/full-result.json,historical_outputs/anchored_hr/ember/seed_43/full-result.json,historical_outputs/anchored_hr/ember/seed_43/full-result.json
ER (standard),EMBER,43,81.4599809229034,84.23901972728264,16.429795494380294,75.65130935566879,82.97984122054429,79.89053943178645,81.45998092290337,80.69962022311891,84.23901972728262,85.08366579685456,historical_outputs/er/ember/seed_43/full-result.json,7f0890aebb04d0e460fd4f041e80c4c8a916caf3156db740504a0d3f446c0105,task_matrices/er__ember__seed_43.json,a11d1abbb9d33c42b9b02b5c67d9f81236e2c55f166fa6433f5499649424de88,task_matrices/er__ember__seed_43.json,V15.5,historical_outputs/er/ember/seed_43/full-result.json,historical_outputs/er/ember/seed_43/full-result.json,not_reported
DER++ (standard),EMBER,43,82.60701678589446,84.9013833758136,14.698128339114614,75.44369247652966,83.34866519203169,80.6961637650986,82.60701678589446,81.45027296463327,84.90138337581362,86.55265756048146,historical_outputs/derpp/ember/seed_43/full-result.json,a41cd026a7b8f8b1b4e63894fe435d6dd8b71a714b47be7c093173b339df9b47,task_matrices/derpp__ember__seed_43.json,d5b5ab692d3155fe09ac850282019d9c5e3c459619467453bfd4aa1bc5d93561,task_matrices/derpp__ember__seed_43.json,V15.5,historical_outputs/derpp/ember/seed_43/full-result.json,historical_outputs/derpp/ember/seed_43/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,43,42.898124312665985,63.096685392279724,10.687087007327918,43.66143629957917,59.03988138808709,53.85978558163036,42.898124312665985,58.14146688820318,63.09668539227972,47.47887001029681,historical_outputs/adapted_malcl/ember/seed_43/full-result.json,c086f27c64f8e8d5e7ac4b0fa58a1334f375d22021421c8d79742f667925e195,task_matrices/adapted_malcl__ember__seed_43.json,0ca330c05e9498a10800c875f8751c3c6b8122702c49962076c098578a35ffc7,task_matrices/adapted_malcl__ember__seed_43.json,V15.5,historical_outputs/adapted_malcl/ember/seed_43/full-result.json,historical_outputs/adapted_malcl/ember/seed_43/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,44,78.53903978134802,84.08963710233952,9.589830000000001,72.71131847562086,80.04237203577486,79.0698538881888,78.53905454545455,78.98174028008543,84.08963710233951,82.90873793486817,historical_outputs/anchored_hr/ember/seed_44/full-result.json,018672639db6f07999f6f275523688d48eb145a0d65e46341f837a6cf1938388,task_matrices/anchored_hr__ember__seed_44.json,43232b91fbefcc3954a5e9d836540bccc19da0800d5c926d5b990778b82c37b0,task_matrices/anchored_hr__ember__seed_44.json,V15.5,historical_outputs/anchored_hr/ember/seed_44/full-result.json,historical_outputs/anchored_hr/ember/seed_44/full-result.json,historical_outputs/anchored_hr/ember/seed_44/full-result.json
ER (standard),EMBER,44,80.92981369305865,83.96986871496452,17.032050644766436,76.3821528094287,82.0637034717749,80.37676538024728,80.92981369305865,81.67576548777593,83.9698687149645,83.80838694217208,historical_outputs/er/ember/seed_44/full-result.json,82c13a0fafb7da9a9c414f0618492777dda84fb26acbd7061e57e3492d36679a,task_matrices/er__ember__seed_44.json,210a38519bbc41aad9bafeea037ddd9753aa4e8d9381d8c7bccb063cf1594922,task_matrices/er__ember__seed_44.json,V15.5,historical_outputs/er/ember/seed_44/full-result.json,historical_outputs/er/ember/seed_44/full-result.json,not_reported
