run_id,dataset,seed,variant,K,status,attempt,start_time,end_time,host,gpu,output_dir,config_sha256,class_order_sha256,checkpoint,result_sha256,validation_status,failure_reason
anchor_only__ember__seed_42,ember,42,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_42,,,,,NOT_VALIDATED,
anchor_only__ember__seed_43,ember,43,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_43,,,,,NOT_VALIDATED,
anchor_only__ember__seed_44,ember,44,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_44,,,,,NOT_VALIDATED,
anchor_only__ember__seed_45,ember,45,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_45,,,,,NOT_VALIDATED,
anchor_only__ember__seed_46,ember,46,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_46,,,,,NOT_VALIDATED,
anchor_only__ember__seed_47,ember,47,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_47,,,,,NOT_VALIDATED,
anchor_only__ember__seed_48,ember,48,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_48,,,,,NOT_VALIDATED,
anchor_only__ember__seed_49,ember,49,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_49,,,,,NOT_VALIDATED,
anchor_only__ember__seed_50,ember,50,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_50,,,,,NOT_VALIDATED,
anchor_only__ember__seed_51,ember,51,anchor_only,100,NOT_STARTED,0,,,,,runs/anchor_only/ember/seed_51,,,,,NOT_VALIDATED,
current_only__ember__seed_47,ember,47,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/ember/seed_47,,,,,NOT_VALIDATED,
generated_only__ember__seed_47,ember,47,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/ember/seed_47,,,,,NOT_VALIDATED,
current_only__ember__seed_48,ember,48,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/ember/seed_48,,,,,NOT_VALIDATED,
generated_only__ember__seed_48,ember,48,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/ember/seed_48,,,,,NOT_VALIDATED,
current_only__ember__seed_49,ember,49,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/ember/seed_49,,,,,NOT_VALIDATED,
generated_only__ember__seed_49,ember,49,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/ember/seed_49,,,,,NOT_VALIDATED,
current_only__ember__seed_50,ember,50,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/ember/seed_50,,,,,NOT_VALIDATED,
generated_only__ember__seed_50,ember,50,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/ember/seed_50,,,,,NOT_VALIDATED,
current_only__ember__seed_51,ember,51,current_only,NA,NOT_STARTED,0,,,,,runs/current_only/ember/seed_51,,,,,NOT_VALIDATED,
generated_only__ember__seed_51,ember,51,generated_only,100,NOT_STARTED,0,,,,,runs/generated_only/ember/seed_51,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_42,az_class,42,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_42,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_43,az_class,43,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_43,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_44,az_class,44,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_44,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_45,az_class,45,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_45,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_46,az_class,46,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_46,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_47,az_class,47,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_47,,,,,NOT_VALIDATED,
anchor_only__az_class__seed_48,az_class,48,anchor_only,200,NOT_STARTED,0,,,,,runs/anchor_only/az_class/seed_48,,,,,NOT_VALIDATED,
