method,dataset,seed,file,sha256,source_artifact,source_sha256,matrix_shape
AHR-MalCL-HR (hybrid_random_buffer),EMBER,42,anchored_hr__ember__seed_42.json,a5427ee24fe51ebbabcf165d602bcd2b876e8133ec79991e4fba1441b5b58d50,evidence://anchored_hr/EMBER/seed-42,16666bb9654878a6160edcfd1891dd7de83dec7ad917b8810882d44d0740ce03,11x11
ER (standard),EMBER,42,er__ember__seed_42.json,0e1c58815caaa71ae5cf3d8e1582e14a0291c73f56a2e0d4b91711f60b0e496d,evidence://er/EMBER/seed-42,164bf0a636ff7cfe95268474f3ed11171010445726a412f18b9bf55ed12a0356,11x11
DER++ (standard),EMBER,42,derpp__ember__seed_42.json,05776f75e7317ebaa26ebb5632fb9547d22ab68d47589955968e81ecb4814761,evidence://derpp/EMBER/seed-42,81ef76731fed5818fb6d32a56867c450370380b9a5f6923286f65cbe7acc48ca,11x11
protocol-matched adapted MalCL baseline,EMBER,42,adapted_malcl__ember__seed_42.json,5115ead48cf1c47926cd7615b08c4a25e113241daadeb7bfbfcbe1ce3337c406,evidence://adapted_malcl/EMBER/seed-42,7970b16dcdebf64408623add8197f2bbd2b428d7a1bf0dea74dc330712b05144,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,43,anchored_hr__ember__seed_43.json,e924ae8f007cec4141cddb733419701146a1e451ea2bbcf26d535fc4d47d04de,evidence://anchored_hr/EMBER/seed-43,423652ebd5a1119e5fbab37e88b1edfc34f375907896579dd8995e540db13abe,11x11
ER (standard),EMBER,43,er__ember__seed_43.json,a11d1abbb9d33c42b9b02b5c67d9f81236e2c55f166fa6433f5499649424de88,evidence://er/EMBER/seed-43,7f0890aebb04d0e460fd4f041e80c4c8a916caf3156db740504a0d3f446c0105,11x11
DER++ (standard),EMBER,43,derpp__ember__seed_43.json,d5b5ab692d3155fe09ac850282019d9c5e3c459619467453bfd4aa1bc5d93561,evidence://derpp/EMBER/seed-43,a41cd026a7b8f8b1b4e63894fe435d6dd8b71a714b47be7c093173b339df9b47,11x11
protocol-matched adapted MalCL baseline,EMBER,43,adapted_malcl__ember__seed_43.json,0ca330c05e9498a10800c875f8751c3c6b8122702c49962076c098578a35ffc7,evidence://adapted_malcl/EMBER/seed-43,c086f27c64f8e8d5e7ac4b0fa58a1334f375d22021421c8d79742f667925e195,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,44,anchored_hr__ember__seed_44.json,43232b91fbefcc3954a5e9d836540bccc19da0800d5c926d5b990778b82c37b0,evidence://anchored_hr/EMBER/seed-44,018672639db6f07999f6f275523688d48eb145a0d65e46341f837a6cf1938388,11x11
ER (standard),EMBER,44,er__ember__seed_44.json,210a38519bbc41aad9bafeea037ddd9753aa4e8d9381d8c7bccb063cf1594922,evidence://er/EMBER/seed-44,82c13a0fafb7da9a9c414f0618492777dda84fb26acbd7061e57e3492d36679a,11x11
DER++ (standard),EMBER,44,derpp__ember__seed_44.json,5f1cd74ed7892e33afb30ab2535eaa590d39fc72b7f9164bda4b286198dfee89,evidence://derpp/EMBER/seed-44,26284332b397cccf50fe475604997963eb9d69004ef556d2f1ef587002d76912,11x11
protocol-matched adapted MalCL baseline,EMBER,44,adapted_malcl__ember__seed_44.json,a55afcd852bfb68cd162748edc2157f3e4e7403f6ba68a85a8275d083e954631,evidence://adapted_malcl/EMBER/seed-44,9fbe98299818a2a8a5e4fc4015991782555fe320f6fc861240ee26f77de8452a,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,45,anchored_hr__ember__seed_45.json,fdfb04aa3bc14bf1dcfcc79a57bfd262dcce0ba558328c7080e1e074c0530aa5,evidence://anchored_hr/EMBER/seed-45,fbbd386d0b6b2fc1b9e495b47d2fb9d808267c2a67746f58944257ca435e524f,11x11
ER (standard),EMBER,45,er__ember__seed_45.json,adf3e52fff41ab43bf1452785e329841202ed309239d507840a09931f8ae7adc,evidence://er/EMBER/seed-45,5bf7b27c1eece05cdc55f6b6b0be2035582dda4b4aa8e9bbe64f7b0a1b6b66cc,11x11
DER++ (standard),EMBER,45,derpp__ember__seed_45.json,95f3df34d2b11a87350a72656409b8aabdda89dbdd5be7d49a75690426a1b637,evidence://derpp/EMBER/seed-45,cc81a3cf5307a8b8b86cb74aaf25032acc5b8fb9b00c6cd6d4731a0f65ec21b3,11x11
protocol-matched adapted MalCL baseline,EMBER,45,adapted_malcl__ember__seed_45.json,dcdb962967553c41e5a70d199bafb6ca4969751fcdd8629ad3d5f54cde307320,evidence://adapted_malcl/EMBER/seed-45,aeb3f953bcfdcff8ba473745a60fd4888581c1ddb36e63df21fa4508da2bfdc4,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,46,anchored_hr__ember__seed_46.json,1a74baa76046d6ac272dba269220f03205039ba379b32b348bcd5d2ff6b20937,evidence://anchored_hr/EMBER/seed-46,9ea71a5d33b1e984a0bbbdcfd03b24b428cbbedaa381546ae4ac6fdab257558f,11x11
ER (standard),EMBER,46,er__ember__seed_46.json,be215530091ab6b835d2bf4e02d85ef9bc5847606edf99cca53a96c779b6fcc5,evidence://er/EMBER/seed-46,b3bfa49d0a50d8350a7b618b3c7f6006f5514965761df44757d14f7960a765d9,11x11
DER++ (standard),EMBER,46,derpp__ember__seed_46.json,286f7ed8553ff734495ce1d1bc8d63193d276ec9d760f5fb1d2735979a15bb42,evidence://derpp/EMBER/seed-46,f304d29bc42ae26a73cde8d56d1a6478bc13b8556da560b2ce321441a32682f7,11x11
protocol-matched adapted MalCL baseline,EMBER,46,adapted_malcl__ember__seed_46.json,c8a049077601414ca060c4c251ef7acaddedab9bbd0ee0009f6eb02ea6e4acdf,evidence://adapted_malcl/EMBER/seed-46,85fa540936638d13e268d63e35ace4b2f5089125b84d826da02875092f336d83,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,47,anchored_hr__ember__seed_47.json,e52ff057f731cb322a24bc4e74cd4b989795f981e3bfc02add7628b4cfa0c7f8,evidence://anchored_hr/EMBER/seed-47,8f8277db43fbb70d8b03b4bd2b847fbdffffd193a7b50964b30671b472174f48,11x11
ER (standard),EMBER,47,er__ember__seed_47.json,44431f83fc8b620a1796b796c4e11814a0857a8834dd7ff615bb860bca46bb50,evidence://er/EMBER/seed-47,d8eba01bb46ef6eae8cdc6436e73bae261b7d04442c5a243eb1c311adb8ae6d9,11x11
DER++ (standard),EMBER,47,derpp__ember__seed_47.json,1b82f40bca9f5fb53690efbfbb142e554c3a9e08a1b85a999e59cc38fded0181,evidence://derpp/EMBER/seed-47,baf2bb4c04fe3ede7e02f9ce39af0f1632e2d05cc5eabd958f8efcbc4456e413,11x11
protocol-matched adapted MalCL baseline,EMBER,47,adapted_malcl__ember__seed_47.json,c7bafedc2727ff218ba5c65d7402eac9364728cf0ca4665988dad0ac6dd8c978,evidence://adapted_malcl/EMBER/seed-47,6e4359ad003244e0a0e8890d0f4fca7b15552fd859e0a4d10212c9a65478fe28,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,48,anchored_hr__ember__seed_48.json,9cfe887328440efaba75ca3d12bd7c9a6164f2cc5aa9ad91b0177e6ee00989a1,evidence://anchored_hr/EMBER/seed-48,9d6fedcfa7c2017da382169dd96b857146522b12cac59a3427f80527dff22acd,11x11
ER (standard),EMBER,48,er__ember__seed_48.json,43c78e4bbcc11d2ef8b27fa07f34cdb52af9e5ead66dd6bd4a0f37466386d27a,evidence://er/EMBER/seed-48,97b0b8f229ba7859f3df6a4c62381bf74aa51a1eacff34cc2ed57c7ffa973118,11x11
DER++ (standard),EMBER,48,derpp__ember__seed_48.json,85813535d79d09f4884b82df95a854d72f0e536980e0033f4e45a5718c374ec5,evidence://derpp/EMBER/seed-48,593cef344476b1ab71db1379fe07e6848c6d2975e3bf2501bd13c544d3d465dc,11x11
protocol-matched adapted MalCL baseline,EMBER,48,adapted_malcl__ember__seed_48.json,305948e7f536dedba7301d009d4260c2c60cf0709e2901cf78e559df50e2c84b,evidence://adapted_malcl/EMBER/seed-48,85cc4dc30c1ff9f3824720a7009c2e950750ae45286510cbd6a344aab71ec9ce,11x11
AHR-MalCL-HR (hybrid_random_buffer),EMBER,49,anchored_hr__ember__seed_49.json,f5ffa737091a30288d351a4eedc17eb5cfe0f0e2cad1fca9505a8d1b6745ce6e,evidence://anchored_hr/EMBER/seed-49,f86fab224069096a88ffa50fc6b9361ea0ea5f2bf408826199d38df702301b2c,11x11
ER (standard),EMBER,49,er__ember__seed_49.json,30df971658c0c65865164c19305092abbe1e380515e9f194790884cfe6384aa6,evidence://er/EMBER/seed-49,a7d60b3a8e59acb01624c9f6507e3d55e077df66a9869f10443b68baa0aca29d,11x11
